Gene,Sample
E3.1.3.41,BD162
E3.1.3.41,BD163
E3.1.3.41,BD50
E3.1.3.41,BD9
E3.1.3.41,BG1
E3.1.3.48,BD117
E3.1.3.48,BD120
E3.1.3.48,BD126
E3.1.3.48,BD127
E3.1.3.48,BD132
E3.1.3.48,BD139
E3.1.3.48,BD158
E3.1.3.48,BD160
E3.1.3.48,BD162
E3.1.3.48,BD163
E3.1.3.48,BD48
E3.1.3.48,BD50
E3.1.3.48,BD54
E3.1.3.48,BD61
E3.1.3.48,BD9
E3.1.3.48,BG1
E3.1.3.48,E7
E3.1.3.5,BD117
E3.1.3.5,BD120
E3.1.3.5,BD126
E3.1.3.5,BD127
E3.1.3.5,BD132
E3.1.3.5,BD160
E3.1.3.5,BD162
E3.1.3.5,BD163
E3.1.3.5,BD48
E3.1.3.5,BD50
E3.1.3.5,BD54
E3.1.3.5,BD9
E3.1.3.5,BG1
E3.1.3.5,E7
E3.2.1.14,BD139
E3.2.1.14,BD158
E3.2.1.4,BD120
E3.2.1.4,BD126
E3.2.1.4,BD132
E3.2.1.4,BD139
E3.2.1.4,BD160
E3.2.1.4,BD162
E3.2.1.4,BD50
E3.2.1.4,BD61
E3.2.1.4,BD9
E3.2.1.4,BG1
E3.5.1.1,BD120
E3.5.1.1,BD126
E3.5.1.1,BD127
E3.5.1.1,BD132
E3.5.1.1,BD139
E3.5.1.1,BD158
E3.5.1.1,BD160
E3.5.1.1,BD162
E3.5.1.1,BD163
E3.5.1.1,BD48
E3.5.1.1,BD50
E3.5.1.1,BD54
E3.5.1.1,BD61
E3.5.1.1,BD9
E3.5.1.1,BG1
E3.5.1.1,E7
E3.5.1.4,BD117
E3.5.1.4,BD127
E3.5.1.4,BD132
E3.5.1.4,BD139
E3.5.1.4,BD158
E3.5.1.4,BD160
E3.5.1.4,BD163
E3.5.1.4,BD48
E3.5.1.4,BD50
E3.5.1.4,BD54
E3.5.1.4,BD61
E3.5.1.4,E7
E3.5.1.49,BD127
E3.5.1.49,BD139
E3.5.1.49,BD61
E3.5.5.1,BD127
E3.5.5.1,BD139
E3.5.5.1,BD163
E3.5.5.1,BD48
E3.5.5.1,BD54
E3.5.5.1,BD61
E3.5.5.1,E7
E3.5.5.7,BD127
E3.5.99.7,BD127
E3.5.99.7,BD158
E3.5.99.7,BD48
E3.5.99.7,BD54
E3.5.99.7,E7
E4.1.1.15,BD163
E4.2.2.10,BD120
E4.2.2.10,BD126
E4.2.2.10,BD162
E4.2.2.10,BD9
E4.2.2.10,BG1
E4.3.1.15,BD139
E4.3.1.15,BD162
E4.3.1.15,BD9
E4.3.1.15,BG1
E4.3.1.17,BD117
E4.3.1.17,BD120
E4.3.1.17,BD126
E4.3.1.17,BD127
E4.3.1.17,BD132
E4.3.1.17,BD139
E4.3.1.17,BD158
E4.3.1.17,BD160
E4.3.1.17,BD162
E4.3.1.17,BD163
E4.3.1.17,BD48
E4.3.1.17,BD50
E4.3.1.17,BD54
E4.3.1.17,BD61
E4.3.1.17,BD9
E4.3.1.17,BG1
E4.3.1.17,E7
E4.3.1.19,BD117
E4.3.1.19,BD120
E4.3.1.19,BD126
E4.3.1.19,BD127
E4.3.1.19,BD132
E4.3.1.19,BD139
E4.3.1.19,BD158
E4.3.1.19,BD160
E4.3.1.19,BD162
E4.3.1.19,BD163
E4.3.1.19,BD48
E4.3.1.19,BD50
E4.3.1.19,BD54
E4.3.1.19,BD61
E4.3.1.19,BD9
E4.3.1.19,BG1
E4.3.1.19,E7
E4.4.1.11,BD127
E4.4.1.11,BD139
E4.4.1.11,BD163
E4.4.1.11,BD61
E4.6.1.1,BD117
E4.6.1.1,BD127
E4.6.1.1,BD48
E4.6.1.1,BD54
E4.6.1.1,E7
E4.99.1.2,BD117
E6.3.5.1,BD127
E6.3.5.1,BD158
E6.3.5.1,BD48
E6.3.5.1,BD54
E6.3.5.1,BD61
E6.3.5.1,E7
FBA,BD117
FBA,BD120
FBA,BD126
FBA,BD127
FBA,BD132
FBA,BD139
FBA,BD160
FBA,BD162
FBA,BD163
FBA,BD48
FBA,BD50
FBA,BD54
FBA,BD61
FBA,BD9
FBA,BG1
FBA,E7
G6PD,BD117
G6PD,BD120
G6PD,BD126
G6PD,BD132
G6PD,BD139
G6PD,BD158
G6PD,BD160
G6PD,BD162
G6PD,BD163
G6PD,BD50
G6PD,BD61
G6PD,BD9
G6PD,BG1
GAPDH,BD117
GAPDH,BD120
GAPDH,BD126
GAPDH,BD127
GAPDH,BD132
GAPDH,BD139
GAPDH,BD158
GAPDH,BD160
GAPDH,BD162
GAPDH,BD163
GAPDH,BD48
GAPDH,BD50
GAPDH,BD54
GAPDH,BD61
GAPDH,BD9
GAPDH,BG1
GAPDH,E7
GCH1,BD117
GCH1,BD120
GCH1,BD126
GCH1,BD127
GCH1,BD132
GCH1,BD139
GCH1,BD158
GCH1,BD160
GCH1,BD162
GCH1,BD163
GCH1,BD48
GCH1,BD50
GCH1,BD54
GCH1,BD61
GCH1,BD9
GCH1,BG1
GCH1,E7
GDH2,BD158
GDH2,BD61
GLDC,BD117
GLDC,BD127
GLDC,BD158
GLDC,BD61
GLU,BD120
GLU,BD126
GLU,BD127
GLU,BD132
GLU,BD139
GLU,BD160
GLU,BD162
GLU,BD163
GLU,BD50
GLU,BD9
GLU,BG1
GLUD1_2,BD117
GLUD1_2,BD127
GLUD1_2,BD48
GLUD1_2,BD54
GLUD1_2,BD61
GLUD1_2,E7
GSR,BD127
GSR,BD158
GSR,BD61
GST,BD127
GST,BD158
GST,BD48
GST,BD54
GST,BD61
GST,E7
HIS7,BD48
HIS7,BD54
HIS7,E7
HPD,BD127
HPD,BD139
HPD,BD158
HPD,BD48
HPD,BD54
HPD,BD61
HPD,E7
IARS,BD117
IARS,BD120
IARS,BD126
IARS,BD127
IARS,BD132
IARS,BD139
IARS,BD158
IARS,BD160
IARS,BD162
IARS,BD163
IARS,BD48
IARS,BD50
IARS,BD54
IARS,BD61
IARS,BD9
IARS,BG1
IARS,E7
IMPL2,BD61
LACC1,BD117
LACC1,BD120
LACC1,BD126
LACC1,BD127
LACC1,BD132
LACC1,BD139
LACC1,BD158
