Gene,Sample
fnr,BD126
fnr,BD132
fnr,BD139
fnr,BD160
fnr,BD162
fnr,BD163
fnr,BD50
fnr,BD9
fnr,BG1
folE2,BD120
folE2,BD126
folE2,BD127
folE2,BD132
folE2,BD158
folE2,BD160
folE2,BD50
folM,BD158
fpr,BD117
fpr,BD127
fpr,BD158
fpr,BD48
fpr,BD54
fpr,BD61
fpr,E7
frmA,BD120
frmA,BD126
frmA,BD127
frmA,BD132
frmA,BD139
frmA,BD158
frmA,BD160
frmA,BD162
frmA,BD163
frmA,BD48
frmA,BD50
frmA,BD54
frmA,BD61
frmA,BD9
frmA,BG1
frmA,E7
gabT,BD117
gabT,BD120
gabT,BD126
gabT,BD127
gabT,BD132
gabT,BD139
gabT,BD158
gabT,BD160
gabT,BD162
gabT,BD163
gabT,BD48
gabT,BD50
gabT,BD54
gabT,BD9
gabT,BG1
gabT,E7
galT,BD120
galT,BD126
galT,BD132
galT,BD160
galT,BD162
galT,BD163
galT,BD50
galT,BD9
galT,BG1
garD,BD120
garD,BD126
garD,BD127
garD,BD48
garD,BD54
garD,BD61
garD,E7
gbcA,BD158
gbcA,BD163
gbcA,BD61
gbcB,BD158
gbcB,BD61
gbsB,BD120
gbsB,BD126
gbsB,BD132
gbsB,BD160
gbsB,BD162
gbsB,BD163
gbsB,BD50
gbsB,BD9
gbsB,BG1
gcvH,BD117
gcvH,BD120
gcvH,BD126
gcvH,BD127
gcvH,BD132
gcvH,BD139
gcvH,BD158
gcvH,BD160
gcvH,BD162
gcvH,BD163
gcvH,BD48
gcvH,BD50
gcvH,BD54
gcvH,BD61
gcvH,BD9
gcvH,BG1
gcvH,E7
gcvPA,BD120
gcvPA,BD126
gcvPA,BD132
gcvPA,BD139
gcvPA,BD160
gcvPA,BD162
gcvPA,BD163
gcvPA,BD50
gcvPA,BD9
gcvPA,BG1
gcvPB,BD117
gcvPB,BD120
gcvPB,BD126
gcvPB,BD132
gcvPB,BD139
gcvPB,BD158
gcvPB,BD160
gcvPB,BD162
gcvPB,BD163
gcvPB,BD50
gcvPB,BD61
gcvPB,BD9
gcvPB,BG1
gcvT,BD117
gcvT,BD120
gcvT,BD126
gcvT,BD127
gcvT,BD132
gcvT,BD139
gcvT,BD158
gcvT,BD160
gcvT,BD162
gcvT,BD163
gcvT,BD50
gcvT,BD61
gcvT,BD9
gcvT,BG1
gdh,BD158
gdh,BD61
ggt,BD120
ggt,BD126
ggt,BD127
ggt,BD132
ggt,BD139
ggt,BD158
ggt,BD160
ggt,BD162
ggt,BD163
ggt,BD48
ggt,BD50
ggt,BD54
ggt,BD61
ggt,BD9
ggt,BG1
ggt,E7
gldA,BD127
gldA,BD162
gldA,BD163
gldA,BD9
gldA,BG1
glk,BD117
glk,BD120
glk,BD126
glk,BD132
glk,BD139
glk,BD158
glk,BD160
glk,BD162
glk,BD163
glk,BD50
glk,BD61
glk,BD9
glk,BG1
glnA,BD117
glnA,BD120
glnA,BD126
glnA,BD127
glnA,BD132
glnA,BD139
glnA,BD158
glnA,BD160
glnA,BD162
glnA,BD163
glnA,BD48
glnA,BD50
glnA,BD54
glnA,BD61
glnA,BD9
glnA,BG1
glnA,E7
glpE,BD158
glpK,BD117
glpK,BD120
glpK,BD126
glpK,BD127
glpK,BD132
glpK,BD139
glpK,BD158
glpK,BD160
glpK,BD162
glpK,BD163
glpK,BD48
glpK,BD50
glpK,BD54
glpK,BD61
glpK,BD9
glpK,BG1
glpK,E7
glsA,BD117
glsA,BD120
glsA,BD126
glsA,BD132
glsA,BD139
glsA,BD158
glsA,BD160
glsA,BD162
glsA,BD163
glsA,BD48
glsA,BD50
glsA,BD54
glsA,BD9
glsA,BG1
glsA,E7
gltB,BD117
gltB,BD120
gltB,BD126
gltB,BD127
gltB,BD132
gltB,BD139
gltB,BD158
gltB,BD160
gltB,BD162
gltB,BD163
gltB,BD48
gltB,BD50
gltB,BD54
gltB,BD61
gltB,BD9
gltB,BG1
gltB,E7
gltD,BD117
gltD,BD120
gltD,BD126
gltD,BD127
gltD,BD132
gltD,BD158
gltD,BD160
gltD,BD162
gltD,BD163
gltD,BD48
gltD,BD50
gltD,BD54
gltD,BD61
gltD,BD9
gltD,BG1
gltD,E7
glyA,BD117
glyA,BD120
glyA,BD126
glyA,BD127
glyA,BD132
glyA,BD139
glyA,BD158
glyA,BD160
glyA,BD162
glyA,BD163
glyA,BD48
glyA,BD50
glyA,BD54
glyA,BD61
glyA,BD9
glyA,BG1
glyA,E7
gnl,BD127
gnl,BD158
gnl,BD61
gpx,BD120
gpx,BD126
gpx,BD127
gpx,BD132
gpx,BD139
gpx,BD158
gpx,BD160
gpx,BD162
gpx,BD163
gpx,BD48
gpx,BD50
gpx,BD54
gpx,BD9
gpx,BG1
gpx,E7
groEL,BD117
groEL,BD120
groEL,BD126
groEL,BD127
groEL,BD132
groEL,BD139
groEL,BD158
groEL,BD160
groEL,BD162
groEL,BD163
groEL,BD48
groEL,BD50
groEL,BD54
groEL,BD61
groEL,BD9
groEL,BG1
groEL,E7
gshA,BD117
gshA,BD127
gshA,BD139
gshA,BD158
gshA,BD48
gshA,BD54
gshA,BD61
gshA,E7
gshB,BD127
gshB,BD139
gshB,BD158
gshB,BD48
gshB,BD54
gshB,BD61
gshB,E7
guaA,BD117
guaA,BD120
guaA,BD126
guaA,BD127
guaA,BD132
guaA,BD139
guaA,BD158
guaA,BD160
guaA,BD162
guaA,BD163
guaA,BD48
guaA,BD50
guaA,BD54
guaA,BD61
guaA,BD9
guaA,BG1
guaA,E7
guaC,BD120
guaC,BD126
guaC,BD162
guaC,BD61
guaC,BD9
guaC,BG1
guaD,BD120
guaD,BD126
guaD,BD132
guaD,BD139
guaD,BD158
guaD,BD160
guaD,BD48
guaD,BD50
guaD,BD54
guaD,BD61
guaD,E7
gudB,BD120
gudB,BD126
gudB,BD127
gudB,BD132
gudB,BD139
gudB,BD160
gudB,BD162
gudB,BD163
gudB,BD50
gudB,BD9
gudB,BG1
gyrA,BD117
gyrA,BD120
gyrA,BD126
gyrA,BD127
gyrA,BD132
gyrA,BD139
gyrA,BD158
gyrA,BD160
gyrA,BD162
gyrA,BD163
gyrA,BD48
gyrA,BD50
gyrA,BD54
gyrA,BD61
gyrA,BD9
gyrA,BG1
gyrA,E7
gyrB,BD117
gyrB,BD120
gyrB,BD126
gyrB,BD127
gyrB,BD132
gyrB,BD139
gyrB,BD158
gyrB,BD160
gyrB,BD162
gyrB,BD163
gyrB,BD48
gyrB,BD50
gyrB,BD54
gyrB,BD61
gyrB,BD9
gyrB,BG1
gyrB,E7
hcnB,BD127
hcp,BD139
hemC,BD117
hemC,BD120
hemC,BD126
hemC,BD127
hemC,BD132
hemC,BD139
hemC,BD158
hemC,BD160
hemC,BD162
hemC,BD163
hemC,BD48
hemC,BD50
hemC,BD54
hemC,BD61
hemC,BD9
hemC,BG1
hemC,E7
hemE,BD117
hemE,BD120
hemE,BD126
hemE,BD127
hemE,BD132
hemE,BD139
hemE,BD158
hemE,BD160
hemE,BD162
hemE,BD163
hemE,BD48
hemE,BD50
hemE,BD54
hemE,BD61
hemE,BD9
hemE,BG1
hemE,E7
hisB,BD117
hisB,BD48
hisB,BD54
hisB,BD61
hisB,E7
hisF,BD117
hisF,BD120
hisF,BD126
hisF,BD127
hisF,BD132
hisF,BD139
hisF,BD158
hisF,BD160
hisF,BD162
hisF,BD163
hisF,BD48
hisF,BD50
hisF,BD54
hisF,BD61
hisF,BD9
hisF,BG1
hisF,E7
hisH,BD117
hisH,BD120
hisH,BD126
hisH,BD127
hisH,BD132
hisH,BD139
hisH,BD158
hisH,BD160
hisH,BD162
hisH,BD163
hisH,BD48
hisH,BD50
hisH,BD54
hisH,BD61
hisH,BD9
hisH,BG1
hisH,E7
hisN,BD117
hmp,BD117
hmp,BD120
hmp,BD126
hmp,BD127
hmp,BD132
hmp,BD139
hmp,BD158
hmp,BD160
hmp,BD162
hmp,BD163
hmp,BD48
hmp,BD50
hmp,BD54
hmp,BD9
hmp,BG1
hmp,E7
hsd,BD117
hss,BD61
hutF,BD61
hutH,BD117
hutH,BD120
hutH,BD126
hutH,BD127
hutH,BD139
hutH,BD158
hutH,BD162
hutH,BD163
hutH,BD48
hutH,BD54
hutH,BD61
hutH,BD9
hutH,BG1
hutH,E7
hutZ,BD61
hxlA,BD120
hxlA,BD126
hxlA,BD160
hxlA,BD162
hxlA,BD163
hxlA,BD9
hxlA,BG1
hya,BD139
iaaH,BD127
inhA,BD127
isdG,BD120
isdG,BD126
isdG,BD132
isdG,BD139
isdG,BD160
isdG,BD162
isdG,BD50
isdG,BD9
isdG,BG1
katE,BD117
katE,BD120
katE,BD126
katE,BD127
katE,BD132
katE,BD139
katE,BD158
katE,BD160
katE,BD162
katE,BD163
katE,BD48
katE,BD50
katE,BD54
katE,BD61
katE,BD9
katE,BG1
katE,E7
katG,BD139
katG,BD158
katG,BD48
katG,BD54
katG,E7
kynB,BD127
kynB,BD139
larC,BD163
lhpC,BD158
lhpC,BD48
lhpC,BD54
lhpC,BD61
lhpC,E7
ligD,BD120
ligD,BD126
ligD,BD127
ligD,BD132
ligD,BD139
ligD,BD160
ligD,BD162
ligD,BD50
ligD,BD61
ligD,BD9
ligD,BG1
lip,BD120
lip,BD126
lip,BD132
lip,BD139
lip,BD160
lip,BD162
lip,BD163
lip,BD48
lip,BD50
lip,BD54
lip,BD9
lip,BG1
lip,E7
lsrK,BD120
lsrK,BD126
lsrK,BD162
lsrK,BD9
lsrK,BG1
ltaA,BD158
ltaE,BD117
ltaE,BD127
ltaE,BD139
ltaE,BD158
ltaE,BD61
ltrA,BD139
ltrA,BD163
luci,BD61
luxR,BD48
luxR,BD54
luxR,E7
mauA,BD127
mauB,BD127
mccB,BD120
mccB,BD126
mccB,BD132
mccB,BD139
mccB,BD160
mccB,BD162
mccB,BD163
mccB,BD50
mccB,BD9
mccB,BG1
mdh,BD117
mdh,BD120
mdh,BD126
mdh,BD127
mdh,BD132
mdh,BD139
mdh,BD160
mdh,BD162
mdh,BD163
mdh,BD48
mdh,BD50
mdh,BD54
mdh,BD61
mdh,BD9
mdh,BG1
mdh,E7
merA,BD117
merA,BD61
metB,BD117
metB,BD120
metB,BD126
metB,BD127
metB,BD132
metB,BD139
metB,BD160
metB,BD162
metB,BD163
metB,BD50
metB,BD61
metB,BD9
metB,BG1
metC,BD120
metC,BD126
metC,BD127
metC,BD132
metC,BD139
metC,BD160
metC,BD162
metC,BD163
metC,BD48
metC,BD50
metC,BD54
metC,BD61
metC,BD9
metC,BG1
metC,E7
metK,BD117
metK,BD120
metK,BD126
metK,BD127
metK,BD132
metK,BD139
metK,BD158
metK,BD160
metK,BD162
metK,BD163
metK,BD48
metK,BD50
metK,BD54
metK,BD61
metK,BD9
metK,BG1
metK,E7
mgsA,BD158
mgsB,BD158
mgsC,BD158
mhpE,BD139
mhpE,BD163
mhpF,BD139
mmoC,BD48
mmoC,BD54
mmoC,E7
mtaD,BD139
mtlD,BD120
mtlD,BD126
mtlD,BD132
mtlD,BD139
mtlD,BD160
mtlD,BD162
mtlD,BD163
mtlD,BD50
mtlD,BD9
mtlD,BG1
mtnD,BD120
mtnD,BD126
mtnD,BD132
mtnD,BD139
mtnD,BD158
mtnD,BD160
mtnD,BD162
mtnD,BD163
mtnD,BD50
mtnD,BD9
mtnD,BG1
mucR,BD120
mucR,BD126
mucR,BD127
mucR,BD132
mucR,BD139
mucR,BD160
mucR,BD48
mucR,BD50
mucR,BD54
mucR,E7
nadB,BD117
nadB,BD120
nadB,BD126
nadB,BD127
nadB,BD132
nadB,BD139
nadB,BD160
nadB,BD162
nadB,BD163
nadB,BD48
nadB,BD50
nadB,BD54
nadB,BD61
nadB,BD9
nadB,BG1
nadB,E7
nadE,BD117
nadE,BD120
nadE,BD126
nadE,BD127
nadE,BD132
nadE,BD139
nadE,BD158
nadE,BD160
nadE,BD162
nadE,BD163
nadE,BD48
nadE,BD50
nadE,BD54
nadE,BD61
nadE,BD9
nadE,BG1
nadE,E7
nadX,BD48
nadX,BD54
nadX,E7
nagB,BD120
nagB,BD126
nagB,BD132
nagB,BD139
nagB,BD160
nagB,BD162
nagB,BD163
nagB,BD50
nagB,BD9
nagB,BG1
nagD,BD158
nagG,BD127
nagG,BD48
nagG,BD54
nagG,E7
nagH,BD127
nagX,BD127
nahAa,BD48
nahAa,BD54
nahAa,BD61
nahAa,E7
nahAb,BD127
narG,BD120
narG,BD126
narG,BD127
narG,BD162
narG,BD61
narG,BD9
narG,BG1
narH,BD120
narH,BD126
narH,BD127
narH,BD162
narH,BD61
narH,BD9
narH,BG1
narI,BD120
narI,BD126
narI,BD127
narI,BD162
narI,BD61
narI,BD9
narI,BG1
nasC,BD120
nasC,BD126
nasC,BD139
nasC,BD158
nasC,BD160
nasC,BD162
nasC,BD163
nasC,BD48
nasC,BD54
nasC,BD9
nasC,BG1
nasC,E7
ncd2,BD117
ncd2,BD120
ncd2,BD126
ncd2,BD127
ncd2,BD132
ncd2,BD139
ncd2,BD158
ncd2,BD160
ncd2,BD162
ncd2,BD163
ncd2,BD48
ncd2,BD50
ncd2,BD54
ncd2,BD61
ncd2,BD9
ncd2,BG1
ncd2,E7
ndhF,BD120
ndhF,BD126
ndhF,BD158
nemA,BD117
nemA,BD127
nemA,BD158
nemA,BD163
nemA,BD48
nemA,BD54
nemA,BD61
nemA,E7
nfnB,BD48
nfnB,BD54
nfnB,E7
nfsA,BD120
nfsA,BD126
nfsA,BD162
nfsA,BD9
nfsA,BG1
nhoA,BD120
nhoA,BD126
nhoA,BD132
nhoA,BD139
nhoA,BD160
nhoA,BD162
nhoA,BD163
nhoA,BD50
nhoA,BD9
nhoA,BG1
nicF,BD127
nirA,BD117
nirA,BD139
nirA,BD61
nirB,BD120
nirB,BD126
nirB,BD127
nirB,BD158
nirB,BD160
nirB,BD162
nirB,BD163
nirB,BD48
nirB,BD54
nirB,BD9
nirB,BG1
nirB,E7
nirD,BD120
nirD,BD126
nirD,BD127
nirD,BD158
nirD,BD160
nirD,BD162
nirD,BD163
nirD,BD9
nirD,BG1
nuoA,BD127
nuoA,BD139
nuoA,BD158
nuoA,BD48
nuoA,BD54
nuoA,BD61
nuoA,E7
nuoB,BD127
nuoB,BD139
nuoB,BD158
nuoB,BD48
nuoB,BD54
nuoB,BD61
nuoB,E7
nuoC,BD127
nuoC,BD139
nuoC,BD61
nuoCD,BD158
nuoCD,BD48
nuoCD,BD54
nuoCD,E7
nuoD,BD127
nuoD,BD139
nuoD,BD158
nuoD,BD61
nuoE,BD127
nuoE,BD158
nuoE,BD48
nuoE,BD54
nuoE,BD61
nuoE,E7
nuoF,BD127
nuoF,BD158
nuoF,BD48
nuoF,BD54
nuoF,BD61
nuoF,E7
nuoG,BD127
nuoG,BD158
nuoG,BD48
nuoG,BD54
nuoG,BD61
nuoG,E7
nuoH,BD127
nuoH,BD139
nuoH,BD158
nuoH,BD48
nuoH,BD54
nuoH,BD61
nuoH,E7
nuoI,BD127
nuoI,BD139
nuoI,BD158
nuoI,BD48
nuoI,BD54
nuoI,BD61
nuoI,E7
nuoJ,BD127
nuoJ,BD139
nuoJ,BD158
nuoJ,BD48
nuoJ,BD54
nuoJ,BD61
nuoJ,E7
nuoK,BD127
nuoK,BD139
nuoK,BD158
nuoK,BD48
nuoK,BD54
nuoK,BD61
nuoK,E7
nuoL,BD127
nuoL,BD139
nuoL,BD158
nuoL,BD48
nuoL,BD54
nuoL,BD61
nuoL,E7
nuoM,BD127
nuoM,BD139
nuoM,BD158
nuoM,BD48
nuoM,BD54
nuoM,BD61
nuoM,E7
nuoN,BD127
nuoN,BD139
nuoN,BD158
nuoN,BD48
nuoN,BD54
nuoN,BD61
nuoN,E7
ocd,BD117
ocd,BD127
ocd,BD139
ocd,BD158
ocd,BD61
ogt,BD117
ogt,BD120
ogt,BD126
ogt,BD127
ogt,BD132
ogt,BD139
ogt,BD158
ogt,BD160
ogt,BD162
ogt,BD163
ogt,BD48
ogt,BD50
ogt,BD54
ogt,BD61
ogt,BD9
ogt,BG1
ogt,E7
pabA,BD117
pabA,BD120
pabA,BD126
pabA,BD132
pabA,BD139
pabA,BD160
pabA,BD162
pabA,BD163
pabA,BD48
pabA,BD50
pabA,BD54
pabA,BD9
pabA,BG1
pabA,E7
pabAB,BD117
pabB,BD117
pabB,BD120
pabB,BD126
pabB,BD127
pabB,BD132
pabB,BD139
pabB,BD158
pabB,BD160
pabB,BD162
pabB,BD163
pabB,BD48
pabB,BD50
pabB,BD54
pabB,BD61
pabB,BD9
pabB,BG1
pabB,E7
pabBC,BD117
pabBC,BD127
pabBC,BD61
pac,BD127
pac,BD48
pac,BD54
pac,E7
pad,BD120
pad,BD126
pad,BD132
pad,BD160
pad,BD162
pad,BD163
pad,BD50
pad,BD9
pad,BG1
panB,BD117
panB,BD120
panB,BD126
panB,BD127
panB,BD132
panB,BD139
panB,BD158
panB,BD160
panB,BD162
panB,BD163
panB,BD48
panB,BD50
panB,BD54
panB,BD61
panB,BD9
panB,BG1
panB,E7
parC,BD120
parC,BD126
parC,BD127
parC,BD132
parC,BD139
parC,BD158
parC,BD160
parC,BD162
parC,BD163
parC,BD48
parC,BD50
parC,BD54
parC,BD61
parC,BD9
parC,BG1
parC,E7
parE,BD120
parE,BD126
parE,BD127
parE,BD132
parE,BD139
parE,BD158
parE,BD160
parE,BD162
parE,BD163
parE,BD48
parE,BD50
parE,BD54
parE,BD61
parE,BD9
parE,BG1
parE,E7
patB,BD120
patB,BD126
patB,BD132
patB,BD139
patB,BD158
patB,BD160
patB,BD162
patB,BD163
patB,BD50
patB,BD9
patB,BG1
pcaB,BD127
pcaB,BD158
pcaB,BD48
pcaB,BD54
pcaB,BD61
pcaB,E7
pcaG,BD158
pcaG,BD48
pcaG,BD54
pcaG,BD61
pcaG,E7
pcaH,BD158
pcaH,BD48
pcaH,BD54
pcaH,BD61
pcaH,E7
pchB,BD127
pchD,BD48
pchD,BD54
pchD,E7
pchF,BD61
pdxH,BD127
pdxH,BD158
pdxH,BD48
pdxH,BD54
pdxH,BD61
pdxH,E7
pdxS,BD117
pdxS,BD120
pdxS,BD126
pdxS,BD132
pdxS,BD139
pdxS,BD160
pdxS,BD162
pdxS,BD163
pdxS,BD50
pdxS,BD9
pdxS,BG1
pdxT,BD117
pdxT,BD120
pdxT,BD126
pdxT,BD132
pdxT,BD139
pdxT,BD160
pdxT,BD162
pdxT,BD163
pdxT,BD50
pdxT,BD9
pdxT,BG1
pelC,BD120
pelC,BD126
pepP,BD117
pepP,BD120
pepP,BD126
pepP,BD127
pepP,BD132
pepP,BD139
pepP,BD158
pepP,BD160
pepP,BD162
pepP,BD163
pepP,BD48
pepP,BD50
pepP,BD54
pepP,BD61
pepP,BD9
pepP,BG1
pepP,E7
pepQ,BD120
pepQ,BD126
pepQ,BD132
pepQ,BD139
pepQ,BD158
pepQ,BD160
pepQ,BD162
pepQ,BD163
pepQ,BD50
pepQ,BD61
pepQ,BD9
pepQ,BG1
petH,BD127
pgdA,BD120
pgdA,BD126
pgdA,BD127
pgdA,BD132
pgdA,BD139
pgdA,BD158
pgdA,BD160
pgdA,BD162
pgdA,BD163
pgdA,BD48
pgdA,BD50
pgdA,BD54
pgdA,BD9
pgdA,BG1
pgdA,E7
phnJ,BD127
phnJ,BD61
phnX,BD127
phnX,BD139
phnX,BD48
phnX,BD54
phnX,E7
phoD,BD117
phoD,BD120
phoD,BD126
phoD,BD132
phoD,BD139
phoD,BD158
phoD,BD160
phoD,BD162
phoD,BD163
phoD,BD48
phoD,BD50
phoD,BD54
phoD,BD61
phoD,BD9
phoD,BG1
phoD,E7
pip,BD117
pip,BD120
pip,BD126
pip,BD127
pip,BD139
pip,BD61
plc,BD127
plc,BD48
plc,BD54
plc,E7
pldA,BD158
pldA,BD48
pldA,BD54
pldA,E7
pldB,BD120
pldB,BD126
pldB,BD127
pldB,BD132
pldB,BD139
pldB,BD158
pldB,BD160
pldB,BD162
pldB,BD163
pldB,BD50
pldB,BD61
pldB,BD9
pldB,BG1
pleD,BD61
pncA,BD117
pncA,BD158
pncA,BD48
pncA,BD54
pncA,BD61
pncA,E7
pncC,BD117
pncC,BD120
pncC,BD126
pncC,BD132
pncC,BD139
pncC,BD158
pncC,BD160
pncC,BD162
pncC,BD163
pncC,BD48
pncC,BD50
pncC,BD54
pncC,BD61
pncC,BD9
pncC,BG1
pncC,E7
pobA,BD158
pobA,BD48
pobA,BD54
pobA,BD61
pobA,E7
ppa,BD117
ppa,BD127
ppa,BD158
ppa,BD163
ppa,BD48
ppa,BD54
ppa,BD61
ppa,E7
ppaX,BD120
ppaX,BD126
ppaX,BD132
ppaX,BD139
ppaX,BD160
ppaX,BD162
ppaX,BD163
ppaX,BD50
ppaX,BD9
ppaX,BG1
ppc,BD127
ppc,BD158
ppc,BD163
ppc,BD48
ppc,BD54
ppc,E7
pphA,BD127
pphA,BD139
pphA,BD61
psuG,BD139
puo,BD117
puuB,BD127
puuB,BD158
puuB,BD48
puuB,BD54
puuB,BD61
puuB,E7
puuE,BD120
puuE,BD126
puuE,BD127
puuE,BD132
puuE,BD160
puuE,BD162
puuE,BD163
puuE,BD48
puuE,BD50
puuE,BD54
puuE,BD9
puuE,BG1
puuE,E7
pydC,BD117
pydC,BD127
pydC,BD139
pydC,BD162
pydC,BD163
pydC,BD61
pydC,BD9
pydC,BG1
pylD,BD117
pyrG,BD117
pyrG,BD120
pyrG,BD126
pyrG,BD127
pyrG,BD132
pyrG,BD139
pyrG,BD158
pyrG,BD160
pyrG,BD162
pyrG,BD163
pyrG,BD48
pyrG,BD50
pyrG,BD54
pyrG,BD61
pyrG,BD9
pyrG,BG1
pyrG,E7
pyrR,BD117
pyrR,BD120
pyrR,BD126
pyrR,BD132
pyrR,BD139
pyrR,BD160
pyrR,BD162
pyrR,BD163
pyrR,BD50
pyrR,BD9
pyrR,BG1
qcrA,BD117
qcrA,BD120
qcrA,BD126
qcrA,BD132
qcrA,BD139
qcrA,BD160
qcrA,BD162
qcrA,BD163
qcrA,BD50
qcrA,BD9
qcrA,BG1
qcrB,BD117
qcrB,BD120
qcrB,BD126
qcrB,BD132
qcrB,BD139
qcrB,BD160
qcrB,BD162
qcrB,BD163
qcrB,BD50
qcrB,BD9
qcrB,BG1
qcrC,BD117
qcrC,BD120
qcrC,BD126
qcrC,BD132
qcrC,BD139
qcrC,BD160
qcrC,BD162
qcrC,BD163
qcrC,BD50
qcrC,BD9
qcrC,BG1
qodI,BD120
qodI,BD126
qodI,BD132
qodI,BD160
qodI,BD50
qor,BD117
qor,BD127
qor,BD132
qor,BD139
qor,BD158
qor,BD160
qor,BD162
qor,BD163
qor,BD48
qor,BD50
qor,BD54
qor,BD61
qor,BD9
qor,BG1
qor,E7
qorB,BD132
qorB,BD139
qorB,BD160
qorB,BD50
queC,BD120
queC,BD126
queC,BD127
queC,BD132
queC,BD139
queC,BD158
queC,BD160
queC,BD162
queC,BD163
queC,BD48
queC,BD50
queC,BD54
queC,BD61
queC,BD9
queC,BG1
queC,E7
queD,BD120
queD,BD126
queD,BD127
queD,BD132
queD,BD139
queD,BD160
queD,BD162
queD,BD163
queD,BD48
queD,BD50
queD,BD54
queD,BD61
queD,BD9
queD,BG1
queD,E7
queE,BD120
queE,BD126
queE,BD127
queE,BD132
queE,BD139
queE,BD158
queE,BD160
queE,BD162
queE,BD163
queE,BD48
queE,BD50
queE,BD54
queE,BD61
queE,BD9
queE,BG1
queE,E7
quiC,BD48
quiC,BD54
quiC,E7
racD,BD120
racD,BD126
racD,BD127
racD,BD132
racD,BD139
racD,BD158
racD,BD160
racD,BD162
racD,BD48
racD,BD50
racD,BD54
racD,BD9
racD,BG1
racD,E7
ramA,BD158
ribD,BD117
ribD,BD120
ribD,BD126
ribD,BD127
ribD,BD132
ribD,BD139
ribD,BD158
ribD,BD160
ribD,BD162
ribD,BD163
ribD,BD48
ribD,BD50
ribD,BD54
ribD,BD61
ribD,BD9
ribD,BG1
ribD,E7
ribD1,BD158
ribD1,BD48
ribD1,BD54
ribD1,E7
ridA,BD120
ridA,BD126
ridA,BD127
ridA,BD132
ridA,BD139
ridA,BD158
ridA,BD160
ridA,BD162
ridA,BD163
ridA,BD48
ridA,BD50
ridA,BD54
ridA,BD9
ridA,BG1
ridA,E7
scoA,BD117
scoA,BD120
scoA,BD126
scoA,BD127
scoA,BD139
scoA,BD158
scoA,BD162
scoA,BD163
scoA,BD48
scoA,BD54
scoA,BD9
scoA,BG1
scoA,E7
scoB,BD117
scoB,BD120
scoB,BD126
scoB,BD127
scoB,BD139
scoB,BD158
scoB,BD162
scoB,BD163
scoB,BD48
scoB,BD54
scoB,BD9
scoB,BG1
scoB,E7
sfnG,BD163
sfnG,BD48
sfnG,BD54
sfnG,E7
siaD,BD127
siaD,BD48
siaD,BD54
siaD,E7
soxA,BD139
soxA,BD158
soxA,BD61
soxB,BD127
soxB,BD158
soxB,BD163
soxB,BD61
soxD,BD158
soxD,BD61
soxG,BD158
soxG,BD61
speA,BD120
speA,BD126
speA,BD132
speA,BD139
speA,BD158
speA,BD160
speA,BD162
speA,BD163
speA,BD50
speA,BD9
speA,BG1
ssuD,BD120
ssuD,BD126
ssuD,BD132
ssuD,BD158
ssuD,BD160
ssuD,BD162
ssuD,BD163
ssuD,BD48
ssuD,BD50
ssuD,BD54
ssuD,BD61
ssuD,BD9
ssuD,BG1
ssuD,E7
ssuE,BD117
ssuE,BD127
ssuE,BD158
ssuE,BD163
ssuE,BD48
ssuE,BD54
ssuE,E7
surE,BD127
surE,BD139
surE,BD158
surE,BD48
surE,BD54
surE,BD61
surE,E7
tadA,BD117
tadA,BD120
tadA,BD126
tadA,BD127
tadA,BD132
tadA,BD139
tadA,BD158
tadA,BD160
tadA,BD162
tadA,BD163
tadA,BD48
tadA,BD50
tadA,BD54
tadA,BD61
tadA,BD9
tadA,BG1
tadA,E7
talrD-galrD,BD158
talrD-galrD,BD61
tauX,BD61
tauY,BD127
tauY,BD61
tdk,BD117
tdk,BD120
tdk,BD126
tdk,BD132
tdk,BD139
tdk,BD160
tdk,BD162
tdk,BD163
tdk,BD50
tdk,BD9
tdk,BG1
tenA,BD120
tenA,BD126
tenA,BD127
tenA,BD132
tenA,BD139
tenA,BD160
tenA,BD162
tenA,BD163
tenA,BD48
tenA,BD50
tenA,BD54
tenA,BD61
tenA,BD9
tenA,BG1
tenA,E7
tesA,BD127
tesA,BD158
tesA,BD48
tesA,BD54
tesA,BD61
tesA,E7
tesB,BD117
tesB,BD158
tesB,BD48
tesB,BD54
tesB,BD61
tesB,E7
tgl,BD120
tgl,BD126
tgl,BD132
tgl,BD139
tgl,BD160
tgl,BD162
tgl,BD163
tgl,BD50
tgl,BD9
tgl,BG1
thiC,BD117
thiC,BD120
thiC,BD126
thiC,BD127
thiC,BD132
thiC,BD139
thiC,BD158
thiC,BD160
thiC,BD162
thiC,BD163
thiC,BD48
thiC,BD50
thiC,BD54
thiC,BD9
thiC,BG1
thiC,E7
thiO,BD117
thiO,BD120
thiO,BD126
thiO,BD132
thiO,BD139
thiO,BD158
thiO,BD160
thiO,BD162
thiO,BD163
thiO,BD48
thiO,BD50
thiO,BD54
thiO,BD61
thiO,BD9
thiO,BG1
thiO,E7
thyA,BD117
thyA,BD120
thyA,BD126
thyA,BD127
thyA,BD132
thyA,BD139
thyA,BD158
thyA,BD160
thyA,BD162
thyA,BD163
thyA,BD48
thyA,BD50
thyA,BD54
thyA,BD61
thyA,BD9
thyA,BG1
thyA,E7
tmk,BD117
tmk,BD120
tmk,BD126
tmk,BD127
tmk,BD132
tmk,BD139
tmk,BD158
tmk,BD160
tmk,BD162
tmk,BD163
tmk,BD48
tmk,BD50
