Sample,ko,cpd,compoundname,genesymbol,referenceAG,compoundclass,enzyme_activity
E7,K00128,C11906,Sodium arsenite,ALDH,ATSDR,Inorganic,dehydrogenase
E7,K00128,C11906,Sodium arsenite,ALDH,ATSDR,Metal,dehydrogenase
E7,K00128,C13884,Strontium cation,ALDH,ATSDR,Metal,dehydrogenase
E7,K00128,C00084,Acetaldehyde,ALDH,IARC1,Aliphatic,dehydrogenase
E7,K00128,C00084,Acetaldehyde,ALDH,IARC2B,Aliphatic,dehydrogenase
E7,K00128,C00084,Acetaldehyde,ALDH,PSL,Aliphatic,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,IARC2B,Organometallic,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,EPC,Organometallic,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,WFD,Organometallic,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,IARC2B,Chlorinated,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,EPC,Chlorinated,dehydrogenase
E7,K00249,C11146,Methylmercury chloride,ACADM,WFD,Chlorinated,dehydrogenase
E7,K00261,C00014,Ammonia,GLUD1_2,PSL,Nitrogen-containing,dehydrogenase
E7,K00261,C00014,Ammonia,GLUD1_2,ATSDR,Nitrogen-containing,dehydrogenase
E7,K00362,C16038,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",nirB,IARC2B,Nitrogen-containing,reductase
E7,K00362,C16038,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",nirB,IARC2B,Aromatic,reductase
E7,K00362,C00014,Ammonia,nirB,PSL,Nitrogen-containing,reductase
E7,K00362,C00014,Ammonia,nirB,ATSDR,Nitrogen-containing,reductase
E7,K00362,C00088,Nitrite,nirB,ATSDR,Nitrogen-containing,reductase
E7,K00362,C00088,Nitrite,nirB,ATSDR,Inorganic,reductase
E7,K01027,C07313,Streptozocin,OXCT,IARC2B,Nitrogen-containing,transferase
E7,K01027,C07313,Streptozocin,OXCT,IARC2B,Aliphatic,transferase
E7,K01028,C07313,Streptozocin,scoA,IARC2B,Nitrogen-containing,transferase
E7,K01028,C07313,Streptozocin,scoA,IARC2B,Aliphatic,transferase
E7,K01658,C00014,Ammonia,trpG,PSL,Nitrogen-containing,synthase
E7,K01658,C00014,Ammonia,trpG,ATSDR,Nitrogen-containing,synthase
E7,K01089,C11687,Aziridine,hisB,IARC2B,Nitrogen-containing,dehydratase
E7,K01089,C11687,Aziridine,hisB,IARC2B,Aliphatic,dehydratase
E7,K01916,C00014,Ammonia,nadE,PSL,Nitrogen-containing,synthase
E7,K01916,C00014,Ammonia,nadE,ATSDR,Nitrogen-containing,synthase
E7,K01663,C00014,Ammonia,HIS7,PSL,Nitrogen-containing,synthase
E7,K01663,C00014,Ammonia,HIS7,ATSDR,Nitrogen-containing,synthase
E7,K01568,C00084,Acetaldehyde,PDC,IARC2B,Aliphatic,decarboxylase
E7,K01568,C00084,Acetaldehyde,PDC,IARC1,Aliphatic,decarboxylase
E7,K01568,C00084,Acetaldehyde,PDC,PSL,Aliphatic,decarboxylase
E7,K01505,C00014,Ammonia,E3.5.99.7,PSL,Nitrogen-containing,deaminase
E7,K01505,C00014,Ammonia,E3.5.99.7,ATSDR,Nitrogen-containing,deaminase
E7,K00341,C07210,Zidovudine,nuoL,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00342,C07210,Zidovudine,nuoM,IARC2B,Nitrogen-containing,oxidoreductase
E7,K01424,C00014,Ammonia,E3.5.1.1,PSL,Nitrogen-containing,asparaginase
E7,K01424,C00014,Ammonia,E3.5.1.1,ATSDR,Nitrogen-containing,asparaginase
E7,K00481,C00230,"3,4-Dihydroxybenzoate",pobA,ATSDR,Aromatic,monooxygenase
E7,K00481,C00230,"3,4-Dihydroxybenzoate",pobA,EPC,Aromatic,monooxygenase
E7,K00481,C00230,"3,4-Dihydroxybenzoate",pobA,WFD,Aromatic,monooxygenase
E7,K00481,C00230,"3,4-Dihydroxybenzoate",pobA,PSL,Aromatic,monooxygenase
E7,K00823,C10984,Cypermethrin,puuE,EPC,Polyaromatic,aminotransferase
E7,K00823,C10984,Cypermethrin,puuE,EPC,Chlorinated,aminotransferase
E7,K00823,C10984,Cypermethrin,puuE,EPC,Nitrogen-containing,aminotransferase
E7,K00823,C19304,Thiouracil,puuE,IARC2B,Nitrogen-containing,aminotransferase
E7,K00823,C19304,Thiouracil,puuE,IARC2B,Sulfur-containing,aminotransferase
E7,K00823,C19304,Thiouracil,puuE,IARC2B,Aliphatic,aminotransferase
E7,K01915,C00014,Ammonia,glnA,ATSDR,Nitrogen-containing,synthetase
E7,K01915,C00014,Ammonia,glnA,PSL,Nitrogen-containing,synthetase
E7,K00567,C18447,Methyl bromide,ogt,EPA,Halogenated,methyltransferase
E7,K00567,C18447,Methyl bromide,ogt,EPA,Aliphatic,methyltransferase
E7,K01501,C00014,Ammonia,E3.5.5.1,PSL,Nitrogen-containing,nitrilase
E7,K01501,C00014,Ammonia,E3.5.5.1,ATSDR,Nitrogen-containing,nitrilase
E7,K00799,C10928,Alachlor,GST,EPC,Aromatic,S-transferase
E7,K00799,C10928,Alachlor,GST,WFD,Aromatic,S-transferase
E7,K00799,C10928,Alachlor,GST,EPC,Chlorinated,S-transferase
E7,K00799,C10928,Alachlor,GST,WFD,Chlorinated,S-transferase
E7,K00799,C10928,Alachlor,GST,EPC,Nitrogen-containing,S-transferase
E7,K00799,C10928,Alachlor,GST,WFD,Nitrogen-containing,S-transferase
E7,K00799,C10984,Cypermethrin,GST,EPC,Polyaromatic,S-transferase
E7,K00799,C10984,Cypermethrin,GST,EPC,Chlorinated,S-transferase
E7,K00799,C10984,Cypermethrin,GST,EPC,Nitrogen-containing,S-transferase
E7,K00799,C11090,Endosulfan,GST,ATSDR,Chlorinated,S-transferase
E7,K00799,C11090,Endosulfan,GST,EPA,Chlorinated,S-transferase
E7,K00799,C11090,Endosulfan,GST,WFD,Chlorinated,S-transferase
E7,K00799,C11090,Endosulfan,GST,EPC,Chlorinated,S-transferase
E7,K00799,C11090,Endosulfan,GST,ATSDR,Inorganic,S-transferase
E7,K00799,C11090,Endosulfan,GST,EPA,Inorganic,S-transferase
E7,K00799,C11090,Endosulfan,GST,WFD,Inorganic,S-transferase
E7,K00799,C11090,Endosulfan,GST,EPC,Inorganic,S-transferase
E7,K00799,C14322,Chlorpyrifos,GST,ATSDR,Organophosphorus,S-transferase
E7,K00799,C14322,Chlorpyrifos,GST,WFD,Organophosphorus,S-transferase
E7,K00799,C14322,Chlorpyrifos,GST,EPC,Organophosphorus,S-transferase
E7,K00799,C14322,Chlorpyrifos,GST,ATSDR,Chlorinated,S-transferase
E7,K00799,C14322,Chlorpyrifos,GST,WFD,Chlorinated,S-transferase
E7,K00799,C14322,Chlorpyrifos,GST,EPC,Chlorinated,S-transferase
E7,K00799,C14430,Dichlorvos,GST,ATSDR,Organophosphorus,S-transferase
E7,K00799,C14430,Dichlorvos,GST,IARC2B,Organophosphorus,S-transferase
E7,K00799,C14430,Dichlorvos,GST,EPC,Organophosphorus,S-transferase
E7,K00799,C14430,Dichlorvos,GST,ATSDR,Chlorinated,S-transferase
E7,K00799,C14430,Dichlorvos,GST,IARC2B,Chlorinated,S-transferase
E7,K00799,C14430,Dichlorvos,GST,EPC,Chlorinated,S-transferase
E7,K00799,C14449,Epichlorohydrin,GST,IARC2A,Chlorinated,S-transferase
E7,K00799,C14449,Epichlorohydrin,GST,IARC2A,Aliphatic,S-transferase
E7,K00799,C01326,Hydrogen cyanide,GST,ATSDR,Nitrogen-containing,S-transferase
E7,K00799,C06790,Trichloroethene,GST,PSL,Chlorinated,S-transferase
E7,K00799,C06790,Trichloroethene,GST,ATSDR,Chlorinated,S-transferase
E7,K00799,C06790,Trichloroethene,GST,CONAMA,Chlorinated,S-transferase
E7,K00799,C06790,Trichloroethene,GST,EPC,Chlorinated,S-transferase
E7,K00799,C06790,Trichloroethene,GST,IARC1,Chlorinated,S-transferase
E7,K00799,C06790,Trichloroethene,GST,EPA,Chlorinated,S-transferase
E7,K00799,C06790,Trichloroethene,GST,PSL,Aliphatic,S-transferase
E7,K00799,C06790,Trichloroethene,GST,ATSDR,Aliphatic,S-transferase
E7,K00799,C06790,Trichloroethene,GST,CONAMA,Aliphatic,S-transferase
E7,K00799,C06790,Trichloroethene,GST,EPC,Aliphatic,S-transferase
E7,K00799,C06790,Trichloroethene,GST,IARC1,Aliphatic,S-transferase
E7,K00799,C06790,Trichloroethene,GST,EPA,Aliphatic,S-transferase
E7,K00799,C11088,"1,2-Dibromoethane",GST,IARC2A,Organometallic,S-transferase
E7,K00799,C11088,"1,2-Dibromoethane",GST,ATSDR,Organometallic,S-transferase
E7,K00799,C11278,"Aflatoxin B1exo-8,9-epoxide-GSH",GST,IARC1,Aromatic,S-transferase
E7,K00799,C11278,"Aflatoxin B1exo-8,9-epoxide-GSH",GST,IARC1,Nitrogen-containing,S-transferase
E7,K00799,C11278,"Aflatoxin B1exo-8,9-epoxide-GSH",GST,IARC1,Sulfur-containing,S-transferase
E7,K00799,C19586,"Aflatoxin B1-exo-8,9-epoxide",GST,IARC1,Aromatic,S-transferase
E7,K01081,C07210,Zidovudine,E3.1.3.5,IARC2B,Nitrogen-containing,nucleotidase
E7,K01081,C07561,Carbon tetrachloride,E3.1.3.5,IARC2B,Chlorinated,nucleotidase
E7,K01081,C07561,Carbon tetrachloride,E3.1.3.5,EPA,Chlorinated,nucleotidase
E7,K01081,C07561,Carbon tetrachloride,E3.1.3.5,ATSDR,Chlorinated,nucleotidase
E7,K01081,C07561,Carbon tetrachloride,E3.1.3.5,CONAMA,Chlorinated,nucleotidase
E7,K01081,C07561,Carbon tetrachloride,E3.1.3.5,EPC,Chlorinated,nucleotidase
E7,K01081,C19302,Thioacetamide,E3.1.3.5,IARC2B,Nitrogen-containing,nucleotidase
E7,K01081,C19302,Thioacetamide,E3.1.3.5,IARC2B,Sulfur-containing,nucleotidase
E7,K01081,C19302,Thioacetamide,E3.1.3.5,IARC2B,Aliphatic,nucleotidase
E7,K01498,C00014,Ammonia,ribD1,PSL,Nitrogen-containing,deaminase
E7,K01498,C00014,Ammonia,ribD1,ATSDR,Nitrogen-containing,deaminase
E7,K05396,C00014,Ammonia,dcyD,PSL,Nitrogen-containing,desulfhydrase
E7,K05396,C00014,Ammonia,dcyD,ATSDR,Nitrogen-containing,desulfhydrase
E7,K00287,C07041,Hydrochlorothiazide,DHFR,IARC2B,Nitrogen-containing,reductase
E7,K00287,C07041,Hydrochlorothiazide,DHFR,IARC2B,Sulfur-containing,reductase
E7,K00287,C07041,Hydrochlorothiazide,DHFR,IARC2B,Chlorinated,reductase
E7,K00287,C07041,Hydrochlorothiazide,DHFR,IARC2B,Aromatic,reductase
E7,K00287,C11146,Methylmercury chloride,DHFR,WFD,Organometallic,reductase
E7,K00287,C11146,Methylmercury chloride,DHFR,EPC,Organometallic,reductase
E7,K00287,C11146,Methylmercury chloride,DHFR,IARC2B,Organometallic,reductase
E7,K00287,C11146,Methylmercury chloride,DHFR,WFD,Chlorinated,reductase
E7,K00287,C11146,Methylmercury chloride,DHFR,EPC,Chlorinated,reductase
E7,K00287,C11146,Methylmercury chloride,DHFR,IARC2B,Chlorinated,reductase
E7,K17686,C00070,Copper,copA,EPA,Metal,transporter
E7,K17686,C00070,Copper,copA,PSL,Metal,transporter
E7,K17686,C00070,Copper,copA,ATSDR,Metal,transporter
E7,K01104,C11195,Mitoxantrone,E3.1.3.48,IARC2B,Nitrogen-containing,phosphatase
E7,K01104,C11195,Mitoxantrone,E3.1.3.48,IARC2B,Polyaromatic,phosphatase
E7,K20956,C07316,Sulfasalazine,cdgA,IARC2B,Nitrogen-containing,cyclase
E7,K20956,C07316,Sulfasalazine,cdgA,IARC2B,Sulfur-containing,cyclase
E7,K20956,C07316,Sulfasalazine,cdgA,IARC2B,Polyaromatic,cyclase
E7,K01488,C17383,Cobaltous sulfate,add,IARC2B,Metal,deaminase
E7,K01488,C17383,Cobaltous sulfate,add,IARC2B,Inorganic,deaminase
E7,K01488,C00014,Ammonia,add,PSL,Nitrogen-containing,deaminase
E7,K01488,C00014,Ammonia,add,ATSDR,Nitrogen-containing,deaminase
E7,K00130,C07115,Nitrogen mustard,betB,IARC2A,Chlorinated,dehydrogenase
E7,K00130,C07115,Nitrogen mustard,betB,IARC2A,Nitrogen-containing,dehydrogenase
E7,K05599,C13377,Mercuric chloride,antA,ATSDR,Metal,dioxygenase
E7,K05599,C13377,Mercuric chloride,antA,WFD,Metal,dioxygenase
E7,K05599,C13377,Mercuric chloride,antA,ATSDR,Chlorinated,dioxygenase
E7,K05599,C13377,Mercuric chloride,antA,WFD,Chlorinated,dioxygenase
E7,K05599,C00014,Ammonia,antA,PSL,Nitrogen-containing,dioxygenase
E7,K05599,C00014,Ammonia,antA,ATSDR,Nitrogen-containing,dioxygenase
E7,K05599,C00090,Catechol,antA,PSL,Aromatic,dioxygenase
E7,K05599,C00090,Catechol,antA,EPC,Aromatic,dioxygenase
E7,K05599,C00090,Catechol,antA,IARC2B,Aromatic,dioxygenase
E7,K05599,C00090,Catechol,antA,ATSDR,Aromatic,dioxygenase
E7,K05599,C00090,Catechol,antA,WFD,Aromatic,dioxygenase
E7,K03863,C19233,"1,1-Dimethylhydrazine",vanB,IARC2B,Nitrogen-containing,monooxygenase
E7,K03863,C19233,"1,1-Dimethylhydrazine",vanB,IARC2B,Aliphatic,monooxygenase
E7,K03863,C00067,Formaldehyde,vanB,ATSDR,Aliphatic,monooxygenase
E7,K03863,C00067,Formaldehyde,vanB,PSL,Aliphatic,monooxygenase
E7,K03863,C00067,Formaldehyde,vanB,IARC1,Aliphatic,monooxygenase
E7,K03863,C00230,"3,4-Dihydroxybenzoate",vanB,EPC,Aromatic,monooxygenase
E7,K03863,C00230,"3,4-Dihydroxybenzoate",vanB,ATSDR,Aromatic,monooxygenase
E7,K03863,C00230,"3,4-Dihydroxybenzoate",vanB,WFD,Aromatic,monooxygenase
E7,K03863,C00230,"3,4-Dihydroxybenzoate",vanB,PSL,Aromatic,monooxygenase
E7,K00019,C07308,Cacodylate,BDH1,IARC2B,Inorganic,dehydrogenase
E7,K00019,C07308,Cacodylate,BDH1,ATSDR,Inorganic,dehydrogenase
E7,K00019,C07308,Cacodylate,BDH1,IARC2B,Metal,dehydrogenase
E7,K00019,C07308,Cacodylate,BDH1,ATSDR,Metal,dehydrogenase
E7,K00004,C00038,Zinc cation,BDH,ATSDR,Metal,dehydrogenase
E7,K00004,C00038,Zinc cation,BDH,EPA,Metal,dehydrogenase
E7,K00001,C00038,Zinc cation,E1.1.1.1,EPA,Metal,dehydrogenase
E7,K00001,C00038,Zinc cation,E1.1.1.1,ATSDR,Metal,dehydrogenase
E7,K00001,C06696,Lead,E1.1.1.1,ATSDR,Metal,dehydrogenase
E7,K00001,C06696,Lead,E1.1.1.1,WFD,Metal,dehydrogenase
E7,K00001,C06696,Lead,E1.1.1.1,EPC,Metal,dehydrogenase
E7,K00001,C06696,Lead,E1.1.1.1,EPA,Metal,dehydrogenase
E7,K00001,C06696,Lead,E1.1.1.1,IARC2A,Metal,dehydrogenase
E7,K00001,C06747,Phenylmethanesulfonyl fluoride,E1.1.1.1,PSL,Sulfur-containing,dehydrogenase
E7,K00001,C06747,Phenylmethanesulfonyl fluoride,E1.1.1.1,PSL,Aromatic,dehydrogenase
E7,K00001,C11344,Methyl tert-butyl ether,E1.1.1.1,PSL,Aliphatic,dehydrogenase
E7,K00001,C13377,Mercuric chloride,E1.1.1.1,ATSDR,Metal,dehydrogenase
E7,K00001,C13377,Mercuric chloride,E1.1.1.1,WFD,Metal,dehydrogenase
E7,K00001,C13377,Mercuric chloride,E1.1.1.1,ATSDR,Chlorinated,dehydrogenase
E7,K00001,C13377,Mercuric chloride,E1.1.1.1,WFD,Chlorinated,dehydrogenase
E7,K00001,C14440,"1,4-Dioxane",E1.1.1.1,ATSDR,Aliphatic,dehydrogenase
E7,K00001,C14440,"1,4-Dioxane",E1.1.1.1,IARC2B,Aliphatic,dehydrogenase
E7,K00001,C14687,2-Ethoxyethanol,E1.1.1.1,PSL,Aliphatic,dehydrogenase
E7,K00001,C19263,Methyl isobutyl ketone,E1.1.1.1,IARC2B,Aliphatic,dehydrogenase
E7,K00001,C19302,Thioacetamide,E1.1.1.1,IARC2B,Nitrogen-containing,dehydrogenase
E7,K00001,C19302,Thioacetamide,E1.1.1.1,IARC2B,Sulfur-containing,dehydrogenase
E7,K00001,C19302,Thioacetamide,E1.1.1.1,IARC2B,Aliphatic,dehydrogenase
E7,K00001,C00084,Acetaldehyde,E1.1.1.1,IARC2B,Aliphatic,dehydrogenase
E7,K00001,C00084,Acetaldehyde,E1.1.1.1,PSL,Aliphatic,dehydrogenase
E7,K00001,C00084,Acetaldehyde,E1.1.1.1,IARC1,Aliphatic,dehydrogenase
E7,K00001,C00469,Ethanol,E1.1.1.1,IARC1,Aliphatic,dehydrogenase
E7,K00001,C06899,Chloral hydrate,E1.1.1.1,IARC2A,Chlorinated,dehydrogenase
E7,K00001,C06899,Chloral hydrate,E1.1.1.1,IARC2A,Aliphatic,dehydrogenase
E7,K00024,C06747,Phenylmethanesulfonyl fluoride,mdh,PSL,Sulfur-containing,dehydrogenase
E7,K00024,C06747,Phenylmethanesulfonyl fluoride,mdh,PSL,Aromatic,dehydrogenase
E7,K00024,C08142,Sodium fluoride,mdh,PSL,Inorganic,dehydrogenase
E7,K00121,C00084,Acetaldehyde,frmA,IARC2B,Aliphatic,dehydrogenase
E7,K00121,C00084,Acetaldehyde,frmA,IARC1,Aliphatic,dehydrogenase
E7,K00121,C00084,Acetaldehyde,frmA,PSL,Aliphatic,dehydrogenase
E7,K00121,C00469,Ethanol,frmA,IARC1,Aliphatic,dehydrogenase
E7,K00121,C06899,Chloral hydrate,frmA,IARC2A,Chlorinated,dehydrogenase
E7,K00121,C06899,Chloral hydrate,frmA,IARC2A,Aliphatic,dehydrogenase
E7,K00133,C07308,Cacodylate,asd,IARC2B,Inorganic,dehydrogenase
E7,K00133,C07308,Cacodylate,asd,ATSDR,Inorganic,dehydrogenase
E7,K00133,C07308,Cacodylate,asd,IARC2B,Metal,dehydrogenase
E7,K00133,C07308,Cacodylate,asd,ATSDR,Metal,dehydrogenase
E7,K00134,C18676,alpha-Chlorohydrin,GAPDH,IARC2B,Chlorinated,dehydrogenase
E7,K00134,C18676,alpha-Chlorohydrin,GAPDH,IARC2B,Aliphatic,dehydrogenase
E7,K00138,C00084,Acetaldehyde,aldB,IARC1,Aliphatic,dehydrogenase
E7,K00138,C00084,Acetaldehyde,aldB,IARC2B,Aliphatic,dehydrogenase
E7,K00138,C00084,Acetaldehyde,aldB,PSL,Aliphatic,dehydrogenase
E7,K00248,C11146,Methylmercury chloride,ACADS,IARC2B,Organometallic,dehydrogenase
E7,K00248,C11146,Methylmercury chloride,ACADS,EPC,Organometallic,dehydrogenase
E7,K00248,C11146,Methylmercury chloride,ACADS,WFD,Organometallic,dehydrogenase
E7,K00248,C11146,Methylmercury chloride,ACADS,IARC2B,Chlorinated,dehydrogenase
E7,K00248,C11146,Methylmercury chloride,ACADS,EPC,Chlorinated,dehydrogenase
E7,K00248,C11146,Methylmercury chloride,ACADS,WFD,Chlorinated,dehydrogenase
E7,K00255,C11146,Methylmercury chloride,ACADL,IARC2B,Organometallic,dehydrogenase
E7,K00255,C11146,Methylmercury chloride,ACADL,EPC,Organometallic,dehydrogenase
E7,K00255,C11146,Methylmercury chloride,ACADL,WFD,Organometallic,dehydrogenase
E7,K00255,C11146,Methylmercury chloride,ACADL,IARC2B,Chlorinated,dehydrogenase
E7,K00255,C11146,Methylmercury chloride,ACADL,EPC,Chlorinated,dehydrogenase
E7,K00255,C11146,Methylmercury chloride,ACADL,WFD,Chlorinated,dehydrogenase
E7,K00265,C11906,Sodium arsenite,gltB,ATSDR,Inorganic,synthase
E7,K00265,C11906,Sodium arsenite,gltB,ATSDR,Metal,synthase
E7,K00265,C00014,Ammonia,gltB,PSL,Nitrogen-containing,synthase
E7,K00265,C00014,Ammonia,gltB,ATSDR,Nitrogen-containing,synthase
E7,K00266,C11906,Sodium arsenite,gltD,ATSDR,Inorganic,synthase
E7,K00266,C11906,Sodium arsenite,gltD,ATSDR,Metal,synthase
E7,K00266,C00014,Ammonia,gltD,PSL,Nitrogen-containing,synthase
E7,K00266,C00014,Ammonia,gltD,ATSDR,Nitrogen-containing,synthase
E7,K00275,C00014,Ammonia,pdxH,PSL,Nitrogen-containing,oxidase
E7,K00275,C00014,Ammonia,pdxH,ATSDR,Nitrogen-containing,oxidase
E7,K00276,C00014,Ammonia,AOC3,PSL,Nitrogen-containing,oxidase
E7,K00276,C00014,Ammonia,AOC3,ATSDR,Nitrogen-containing,oxidase
E7,K00276,C00067,Formaldehyde,AOC3,ATSDR,Aliphatic,oxidase
E7,K00276,C00067,Formaldehyde,AOC3,PSL,Aliphatic,oxidase
E7,K00276,C00067,Formaldehyde,AOC3,IARC1,Aliphatic,oxidase
E7,K00278,C19300,Tetranitromethane,nadB,IARC2B,Nitrogen-containing,oxidase
E7,K00278,C19300,Tetranitromethane,nadB,IARC2B,Inorganic,oxidase
E7,K00278,C00014,Ammonia,nadB,ATSDR,Nitrogen-containing,oxidase
E7,K00278,C00014,Ammonia,nadB,PSL,Nitrogen-containing,oxidase
E7,K00285,C00014,Ammonia,dadA,PSL,Nitrogen-containing,dehydrogenase
E7,K00285,C00014,Ammonia,dadA,ATSDR,Nitrogen-containing,dehydrogenase
E7,K00299,C00067,Formaldehyde,ssuE,ATSDR,Aliphatic,reductase
E7,K00299,C00067,Formaldehyde,ssuE,PSL,Aliphatic,reductase
E7,K00299,C00067,Formaldehyde,ssuE,IARC1,Aliphatic,reductase
E7,K00330,C07210,Zidovudine,nuoA,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00331,C07210,Zidovudine,nuoB,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00334,C07210,Zidovudine,nuoE,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00335,C07210,Zidovudine,nuoF,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00336,C07210,Zidovudine,nuoG,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00337,C07210,Zidovudine,nuoH,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00338,C07210,Zidovudine,nuoI,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00339,C07210,Zidovudine,nuoJ,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00340,C07210,Zidovudine,nuoK,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00343,C07210,Zidovudine,nuoN,IARC2B,Nitrogen-containing,oxidoreductase
E7,K00344,C10312,Danthron,qor,IARC2B,Aromatic,reductase
E7,K00355,C10312,Danthron,NQO1,IARC2B,Aromatic,dehydrogenase
E7,K00372,C00088,Nitrite,nasC,ATSDR,Nitrogen-containing,reductase
E7,K00372,C00088,Nitrite,nasC,ATSDR,Inorganic,reductase
E7,K00372,C00244,Nitrate,nasC,ATSDR,Nitrogen-containing,reductase
E7,K00372,C00244,Nitrate,nasC,ATSDR,Inorganic,reductase
E7,K00382,C00014,Ammonia,DLD,PSL,Nitrogen-containing,dehydrogenase
E7,K00382,C00014,Ammonia,DLD,ATSDR,Nitrogen-containing,dehydrogenase
E7,K00384,C07561,Carbon tetrachloride,trxB,CONAMA,Chlorinated,reductase
E7,K00384,C07561,Carbon tetrachloride,trxB,EPC,Chlorinated,reductase
E7,K00384,C07561,Carbon tetrachloride,trxB,ATSDR,Chlorinated,reductase
E7,K00384,C07561,Carbon tetrachloride,trxB,EPA,Chlorinated,reductase
E7,K00384,C07561,Carbon tetrachloride,trxB,IARC2B,Chlorinated,reductase
E7,K00384,C10312,Danthron,trxB,IARC2B,Aromatic,reductase
E7,K00384,C19302,Thioacetamide,trxB,IARC2B,Nitrogen-containing,reductase
E7,K00384,C19302,Thioacetamide,trxB,IARC2B,Sulfur-containing,reductase
E7,K00384,C19302,Thioacetamide,trxB,IARC2B,Aliphatic,reductase
E7,K00432,C01576,Etoposide,gpx,IARC1,Polyaromatic,peroxidase
E7,K00433,C19304,Thiouracil,cpo,IARC2B,Nitrogen-containing,chloroperoxidase
E7,K00433,C19304,Thiouracil,cpo,IARC2B,Sulfur-containing,chloroperoxidase
E7,K00433,C19304,Thiouracil,cpo,IARC2B,Aliphatic,chloroperoxidase
E7,K00433,C19312,Acenaphthene,cpo,EPA,Polyaromatic,chloroperoxidase
E7,K00433,C19312,Acenaphthene,cpo,ATSDR,Polyaromatic,chloroperoxidase
E7,K00433,C19425,Fluoranthene,cpo,EPC,Polyaromatic,chloroperoxidase
E7,K00433,C19425,Fluoranthene,cpo,ATSDR,Polyaromatic,chloroperoxidase
E7,K00433,C19425,Fluoranthene,cpo,WFD,Polyaromatic,chloroperoxidase
E7,K00433,C19425,Fluoranthene,cpo,EPA,Polyaromatic,chloroperoxidase
E7,K00448,C00230,"3,4-Dihydroxybenzoate",pcaG,EPC,Aromatic,dioxygenase
E7,K00448,C00230,"3,4-Dihydroxybenzoate",pcaG,ATSDR,Aromatic,dioxygenase
E7,K00448,C00230,"3,4-Dihydroxybenzoate",pcaG,PSL,Aromatic,dioxygenase
E7,K00448,C00230,"3,4-Dihydroxybenzoate",pcaG,WFD,Aromatic,dioxygenase
E7,K00448,C01163,"3-Carboxy-cis,cis-muconate",pcaG,WFD,Aliphatic,dioxygenase
E7,K00448,C01163,"3-Carboxy-cis,cis-muconate",pcaG,PSL,Aliphatic,dioxygenase
E7,K00448,C01163,"3-Carboxy-cis,cis-muconate",pcaG,ATSDR,Aliphatic,dioxygenase
E7,K00448,C01163,"3-Carboxy-cis,cis-muconate",pcaG,EPC,Aliphatic,dioxygenase
E7,K00449,C00230,"3,4-Dihydroxybenzoate",pcaH,WFD,Aromatic,dioxygenase
E7,K00449,C00230,"3,4-Dihydroxybenzoate",pcaH,ATSDR,Aromatic,dioxygenase
E7,K00449,C00230,"3,4-Dihydroxybenzoate",pcaH,EPC,Aromatic,dioxygenase
E7,K00449,C00230,"3,4-Dihydroxybenzoate",pcaH,PSL,Aromatic,dioxygenase
E7,K00449,C01163,"3-Carboxy-cis,cis-muconate",pcaH,ATSDR,Aliphatic,dioxygenase
E7,K00449,C01163,"3-Carboxy-cis,cis-muconate",pcaH,PSL,Aliphatic,dioxygenase
E7,K00449,C01163,"3-Carboxy-cis,cis-muconate",pcaH,WFD,Aliphatic,dioxygenase
E7,K00449,C01163,"3-Carboxy-cis,cis-muconate",pcaH,EPC,Aliphatic,dioxygenase
E7,K00457,C14449,Epichlorohydrin,HPD,IARC2A,Chlorinated,dioxygenase
E7,K00457,C14449,Epichlorohydrin,HPD,IARC2A,Aliphatic,dioxygenase
E7,K00459,C02116,2-Nitropropane,ncd2,IARC2B,Nitrogen-containing,monooxygenase
E7,K00459,C02116,2-Nitropropane,ncd2,IARC2B,Aliphatic,monooxygenase
E7,K00459,C13377,Mercuric chloride,ncd2,WFD,Metal,monooxygenase
E7,K00459,C13377,Mercuric chloride,ncd2,ATSDR,Metal,monooxygenase
E7,K00459,C13377,Mercuric chloride,ncd2,WFD,Chlorinated,monooxygenase
E7,K00459,C13377,Mercuric chloride,ncd2,ATSDR,Chlorinated,monooxygenase
E7,K00459,C19275,Nitromethane,ncd2,IARC2B,Nitrogen-containing,monooxygenase
E7,K00459,C19275,Nitromethane,ncd2,IARC2B,Inorganic,monooxygenase
E7,K00459,C00084,Acetaldehyde,ncd2,IARC1,Aliphatic,monooxygenase
E7,K00459,C00084,Acetaldehyde,ncd2,IARC2B,Aliphatic,monooxygenase
