Sample,ko,Gene,Pathway,compound_pathway
E7,K00128,alkH_ald,A_Auxiliar_alkane_gene,Alkanes
E7,K00128,mpdC,B_2-methylpropene_degradation,Alkenes
E7,K00128,dpgC,C_Toluene_degradation,Aromatics
E7,K00128,mdlD,C_Toluene_degradation,Aromatics
E7,K00128,pchA,C_Toluene_degradation,Aromatics
E7,K00128,phdK,C_Phenanthrene_degradation,Aromatics
E7,K00128,praB,C_Protocatechuate_degradation,Aromatics
E7,K00128,pegC,D_PEG,Polymers
E7,K00362,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
E7,K00362,andAa,C_Anthranilate_degradation,Aromatics
E7,K00362,padAd1,C_Phthalate_degradation,Aromatics
E7,K01027,pcaI,C_Protocatechuate_degradation,Aromatics
E7,K01028,pcaI,C_Protocatechuate_degradation,Aromatics
E7,K01465,benC,C_Benzoate_degradation,Aromatics
E7,K01800,nagL,C_Gentisate_degradation,Aromatics
E7,K00481,pobA,C_Toluene_degradation,Aromatics
E7,K00799,isoI,B_Isoprene_degradation,Alkenes
E7,K05297,alkG_rubA_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K05297,alkG_rubA1_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K05297,alkG_rubA2_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K05297,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
E7,K05784,prmB,A_Subterminal_oxidation,Alkanes
E7,K05784,isoF,B_Isoprene_degradation,Alkenes
E7,K05784,xamoF,B_Propene_degradation,Alkenes
E7,K05784,antC,C_Anthranilate_degradation,Aromatics
E7,K05784,benC,C_Benzoate_degradation,Aromatics
E7,K05784,xylZ,C_Benzoate_degradation,Aromatics
E7,K07782,rhlR,E_Rhamnolipids,Biosurfactant
E7,K00351,dmpP,C_Phenol_degradation,Aromatics
E7,K00351,tmoF,C_Toluene_degradation,Aromatics
E7,K00351,tomA5,C_Toluene_degradation,Aromatics
E7,K05710,isoC,B_Isoprene_degradation,Alkenes
E7,K05710,xamoC,B_Propene_degradation,Alkenes
E7,K05710,andAb,C_Anthranilate_degradation,Aromatics
E7,K05710,bedB,C_Benzene_degradation,Aromatics
E7,K05710,bphAc,C_Biphenyl_degradation,Aromatics
E7,K05710,doxA,C_Naphthalene_degradation,Aromatics
E7,K05710,doxA,C_Dibenzothiophene_degradation,Aromatics
E7,K05710,nagAb,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
E7,K05710,tmoC,C_Toluene_degradation,Aromatics
E7,K05710,todB,C_Toluene_degradation,Aromatics
E7,K01104,wzb,E_Emulsan,Biosurfactant
E7,K05599,antA,C_Anthranilate_degradation,Aromatics
E7,K05599,benA,C_Benzoate_degradation,Aromatics
E7,K00019,hbd,D_PHBV,Polymers
E7,K00019,hbd,D_PHA,Polymers
E7,K00019,hbd,D_P3HV,Polymers
E7,K00097,tphB,C_Terephthalate_degradation,Aromatics
E7,K00104,pchF,C_Toluene_degradation,Aromatics
E7,K00108,alkJ_adh,A_Auxiliar_alkane_gene,Alkanes
E7,K00108,pegA,D_PEG,Polymers
E7,K00154,alkH_ald,A_Auxiliar_alkane_gene,Alkanes
E7,K00154,dpgC,C_Toluene_degradation,Aromatics
E7,K00154,mdlD,C_Toluene_degradation,Aromatics
E7,K00219,abmA,C_Anthranilate_degradation,Aromatics
E7,K00382,xecC,B_Propene_degradation,Alkenes
E7,K00448,pcaG,C_Protocatechuate_degradation,Aromatics
E7,K00449,pcaH,C_Protocatechuate_degradation,Aromatics
E7,K00496,alkB,A_Terminal/biterminal_oxidation,Alkanes
E7,K00496,alkF_rubA_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K00496,alkG_rubA3_rdx,A_Terminal/biterminal_oxidation,Alkanes
E7,K00496,alkMa,A_Finnerty_pathway,Alkanes
E7,K00496,alkMb,A_Finnerty_pathway,Alkanes
E7,K00496,xylM,C_Toluene_degradation,Aromatics
E7,K00496,xylM,C_Dimethylbenzene,Aromatics
E7,K00528,xamoF,B_Propene_degradation,Alkenes
E7,K00528,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
E7,K00528,tphA1I,C_Terephthalate_degradation,Aromatics
E7,K00529,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
E7,K00529,prmB,A_Subterminal_oxidation,Alkanes
E7,K00529,bedA,C_Benzene_degradation,Aromatics
E7,K00529,bphAd,C_Biphenyl_degradation,Aromatics
E7,K00529,todA,C_Toluene_degradation,Aromatics
E7,K00549,etnE,B_Ethene_and_chloroethene_degradation,Alkenes
E7,K00549,xecA,B_Propene_degradation,Alkenes
E7,K00627,bphD,C_Biphenyl_degradation,Aromatics
E7,K00632,pcaF,C_Catechol_degradation,Aromatics
E7,K00632,pcaF,C_Protocatechuate_degradation,Aromatics
E7,K00645,ituD,E_Iturin,Biosurfactant
E7,K01032,pcaJ,C_Protocatechuate_degradation,Aromatics
E7,K01032,pcaJ,C_Catechol_degradation,Aromatics
E7,K01046,estA,D_PBAT,Polymers
E7,K01046,FB4_0780,D_PBAT,Polymers
E7,K01046,lip,D_PU,Polymers
E7,K01046,lip,D_PET,Polymers
E7,K01046,lipA,D_PET,Polymers
E7,K01046,lipA,D_PCL,Polymers
E7,K01046,lipA,D_PBSA,Polymers
E7,K01046,plaA,D_PLA,Polymers
E7,K01046,plaM4,D_PBS,Polymers
E7,K01046,plaM4,D_PES,Polymers
E7,K01046,plaM4,D_PHA,Polymers
E7,K01046,plaM4,D_PBSA,Polymers
E7,K01046,plaM4,D_PCL,Polymers
E7,K01046,plaM4,D_PHB,Polymers
E7,K01046,plaM4,D_PLA,Polymers
E7,K01046,plaM5,D_PLA,Polymers
E7,K01055,pcaD,C_Catechol_degradation,Aromatics
E7,K01055,pcaD,C_Protocatechuate_degradation,Aromatics
E7,K01061,phaZ,D_P4HB,Polymers
E7,K01061,phaZ,D_PEA,Polymers
E7,K01061,phaZ,D_P3HP,Polymers
E7,K01061,phaZ,D_PHBV,Polymers
E7,K01061,phaZ,D_PHO,Polymers
E7,K01061,phaZ,D_PPL,Polymers
E7,K01061,phaZ,D_PHB,Polymers
E7,K01061,phaZ,D_PHA,Polymers
E7,K01061,phaZ,D_PHPV,Polymers
E7,K01061,phaZ,D_PCL,Polymers
E7,K01061,phaZ,D_PES,Polymers
E7,K01426,NFA_28320,D_Nylon,Polymers
E7,K01426,nylA,D_Nylon,Polymers
E7,K01628,padC2,C_Phthalate_degradation,Aromatics
E7,K01649,xylK,C_Catechol_degradation,Aromatics
E7,K01856,catB,C_Catechol_degradation,Aromatics
E7,K01857,pcaB,C_Protocatechuate_degradation,Aromatics
E7,K01895,pqsA,C_Anthranilate_degradation,Aromatics
E7,K01912,paaK,C_Phenylacetate_degradation,Aromatics
E7,K02609,paaA,C_Phenylacetate_degradation,Aromatics
E7,K02610,paaB,C_Phenylacetate_degradation,Aromatics
E7,K02611,paaC,C_Phenylacetate_degradation,Aromatics
E7,K02612,paaD,C_Phenylacetate_degradation,Aromatics
E7,K02613,paaE,C_Phenylacetate_degradation,Aromatics
E7,K02660,alkN_mcp,A_Hydrocarbon_uptake,Alkanes
E7,K03098,blc,A_Hydrocarbon_uptake,Alkanes
E7,K03379,almA,A_Terminal/biterminal_oxidation,Alkanes
E7,K03379,BVMO,A_Subterminal_oxidation,Alkanes
E7,K03379,CHMO,A_Terminal/biterminal_oxidation,Alkanes
E7,K03381,catA,C_Catechol_degradation,Aromatics
E7,K03386,ahpC,A_Finnerty_pathway,Alkanes
E7,K03387,ahpF,A_Finnerty_pathway,Alkanes
E7,K03464,catC,C_Catechol_degradation,Aromatics
E7,K03599,nagL,C_Gentisate_degradation,Aromatics
E7,K03644,lipA,D_PET,Polymers
E7,K03644,lipA,D_PCL,Polymers
E7,K03644,lipA,D_PBSA,Polymers
E7,K03801,lipB,D_PET,Polymers
E7,K04091,ssuD,A_Auxiliar_alkane_gene,Alkanes
E7,K04755,benC,C_Benzoate_degradation,Aromatics
E7,K04755,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
E7,K04755,xylZ,C_Benzoate_degradation,Aromatics
E7,K05549,antA,C_Anthranilate_degradation,Aromatics
E7,K05549,benA,C_Benzoate_degradation,Aromatics
E7,K05549,xylX,C_Benzoate_degradation,Aromatics
E7,K05550,antB,C_Anthranilate_degradation,Aromatics
E7,K05550,benB,C_Benzoate_degradation,Aromatics
E7,K05550,xylY,C_Benzoate_degradation,Aromatics
E7,K05600,antB,C_Anthranilate_degradation,Aromatics
E7,K05600,benB,C_Benzoate_degradation,Aromatics
E7,K05783,xylL,C_Benzoate_degradation,Aromatics
E7,K06133,ffp,E_Fengacyn,Biosurfactant
E7,K06133,sfp,E_Surfactin,Biosurfactant
E7,K07071,blc,A_Hydrocarbon_uptake,Alkanes
E7,K07275,alkL,A_Hydrocarbon_uptake,Alkanes
E7,K09024,hpaC,C_4-Hydroxyphenylacetate_degradation,Aromatics
E7,K09024,styB,C_Styrene_degradation,Aromatics
E7,K10804,est,D_PU,Polymers
E7,K10804,est,D_PET,Polymers
E7,K10804,est,D_PBSA,Polymers
E7,K10804,est,D_PCL,Polymers
E7,K10804,est,D_PBAT,Polymers
E7,K10804,est,D_PLA,Polymers
E7,K11311,antC,C_Anthranilate_degradation,Aromatics
E7,K11311,benC,C_Benzoate_degradation,Aromatics
E7,K14731,est,D_PU,Polymers
E7,K14731,est,D_PET,Polymers
E7,K14731,est,D_PBSA,Polymers
E7,K14731,est,D_PCL,Polymers
E7,K14731,est,D_PBAT,Polymers
E7,K14731,est,D_PLA,Polymers
E7,K14731,GEN0105,D_PCL,Polymers
E7,K14731,GEN0105,D_3PET,Polymers
E7,K14731,GEN0105,D_PLA,Polymers
E7,K16242,isoA,B_Isoprene_degradation,Alkenes
E7,K16242,dmpN,C_Phenol_degradation,Aromatics
E7,K16242,tomA3,C_Toluene_degradation,Aromatics
E7,K16243,dmpL,C_Phenol_degradation,Aromatics
E7,K16243,tomA1,C_Toluene_degradation,Aromatics
E7,K16244,dmpM,C_Phenol_degradation,Aromatics
E7,K16244,tomA2,C_Toluene_degradation,Aromatics
E7,K16245,dmpO,C_Phenol_degradation,Aromatics
E7,K16245,tomA4,C_Toluene_degradation,Aromatics
E7,K16249,dmpK,C_Phenol_degradation,Aromatics
E7,K16692,wzc,E_Emulsan,Biosurfactant
E7,K18242,nagG,C_Salicylate_degradation,Aromatics
E7,K19707,pcaD,C_Catechol_degradation,Aromatics
E7,K19707,pcaD,C_Protocatechuate_degradation,Aromatics
E7,K20938,LadA,A_Terminal/biterminal_oxidation,Alkanes
E7,K20938,ssuD,A_Auxiliar_alkane_gene,Alkanes
E7,K21105,ISF6_0224,D_PET,Polymers
E7,K21802,ntnC,C_Toluene_degradation,Aromatics
E7,K21802,pchA,C_Toluene_degradation,Aromatics
E7,K21802,xylC,C_Toluene_degradation,Aromatics
E7,K21802,xylC,C_Dimethylbenzene,Aromatics
E7,K01031,pcaI,C_Protocatechuate_degradation,Aromatics
E7,K02615,pcaF,C_Catechol_degradation,Aromatics
E7,K02615,pcaF,C_Protocatechuate_degradation,Aromatics
E7,K07823,pcaF,C_Catechol_degradation,Aromatics
E7,K07823,pcaF,C_Protocatechuate_degradation,Aromatics
E7,K16161,benC,C_Benzoate_degradation,Aromatics
E7,K16161,xylZ,C_Benzoate_degradation,Aromatics
E7,K19734,rhlR,E_Rhamnolipids,Biosurfactant
E7,K01801,nagL,C_Gentisate_degradation,Aromatics
E7,K05712,pobA,C_Toluene_degradation,Aromatics
E7,K12265,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
E7,K14581,benC,C_Benzoate_degradation,Aromatics
E7,K14581,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
E7,K14581,xylZ,C_Benzoate_degradation,Aromatics
E7,K15852,rhlR,E_Rhamnolipids,Biosurfactant
E7,K16246,dmpP,C_Phenol_degradation,Aromatics
E7,K16246,tomA5,C_Toluene_degradation,Aromatics
E7,K18248,andAb,C_Anthranilate_degradation,Aromatics
E7,K20945,wzb,E_Emulsan,Biosurfactant
E7,K22443,antA,C_Anthranilate_degradation,Aromatics
AP1BH01-1,K00128,alkH_ald,A_Auxiliar_alkane_gene,Alkanes
AP1BH01-1,K00128,mpdC,B_2-methylpropene_degradation,Alkenes
AP1BH01-1,K00128,dpgC,C_Toluene_degradation,Aromatics
AP1BH01-1,K00128,mdlD,C_Toluene_degradation,Aromatics
AP1BH01-1,K00128,pchA,C_Toluene_degradation,Aromatics
AP1BH01-1,K00128,phdK,C_Phenanthrene_degradation,Aromatics
AP1BH01-1,K00128,praB,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K00128,pegC,D_PEG,Polymers
AP1BH01-1,K01426,NFA_28320,D_Nylon,Polymers
AP1BH01-1,K01426,nylA,D_Nylon,Polymers
AP1BH01-1,K01895,pqsA,C_Anthranilate_degradation,Aromatics
AP1BH01-1,K01104,wzb,E_Emulsan,Biosurfactant
AP1BH01-1,K04755,benC,C_Benzoate_degradation,Aromatics
AP1BH01-1,K04755,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
AP1BH01-1,K04755,xylZ,C_Benzoate_degradation,Aromatics
AP1BH01-1,K00523,antC,C_Anthranilate_degradation,Aromatics
AP1BH01-1,K00523,benC,C_Benzoate_degradation,Aromatics
AP1BH01-1,K00523,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
AP1BH01-1,K00523,tphA1I,C_Terephthalate_degradation,Aromatics
AP1BH01-1,K00523,xylZ,C_Benzoate_degradation,Aromatics
AP1BH01-1,K01055,pcaD,C_Catechol_degradation,Aromatics
AP1BH01-1,K01055,pcaD,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K00141,ntnC,C_Toluene_degradation,Aromatics
AP1BH01-1,K00141,pchA,C_Toluene_degradation,Aromatics
AP1BH01-1,K00141,xylC,C_Toluene_degradation,Aromatics
AP1BH01-1,K00141,xylC,C_Dimethylbenzene,Aromatics
AP1BH01-1,K00097,tphB,C_Terephthalate_degradation,Aromatics
AP1BH01-1,K00019,hbd,D_PHBV,Polymers
AP1BH01-1,K00019,hbd,D_PHA,Polymers
AP1BH01-1,K00019,hbd,D_P3HV,Polymers
AP1BH01-1,K00104,pchF,C_Toluene_degradation,Aromatics
AP1BH01-1,K00108,alkJ_adh,A_Auxiliar_alkane_gene,Alkanes
AP1BH01-1,K00108,pegA,D_PEG,Polymers
AP1BH01-1,K00382,xecC,B_Propene_degradation,Alkenes
AP1BH01-1,K00406,pchC,C_Toluene_degradation,Aromatics
AP1BH01-1,K00428,latA,D_NR,Polymers
AP1BH01-1,K00448,pcaG,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K00449,pcaH,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K00480,nahG,C_Salicylate_degradation,Aromatics
AP1BH01-1,K00480,nahW,C_Salicylate_degradation,Aromatics
AP1BH01-1,K00480,salA,C_Salicylate_degradation,Aromatics
AP1BH01-1,K00481,pobA,C_Toluene_degradation,Aromatics
AP1BH01-1,K00528,xamoF,B_Propene_degradation,Alkenes
AP1BH01-1,K00528,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
AP1BH01-1,K00528,tphA1I,C_Terephthalate_degradation,Aromatics
AP1BH01-1,K00529,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
AP1BH01-1,K00529,prmB,A_Subterminal_oxidation,Alkanes
AP1BH01-1,K00529,bedA,C_Benzene_degradation,Aromatics
AP1BH01-1,K00529,bphAd,C_Biphenyl_degradation,Aromatics
AP1BH01-1,K00529,todA,C_Toluene_degradation,Aromatics
AP1BH01-1,K00627,bphD,C_Biphenyl_degradation,Aromatics
AP1BH01-1,K00645,ituD,E_Iturin,Biosurfactant
AP1BH01-1,K00799,isoI,B_Isoprene_degradation,Alkenes
AP1BH01-1,K01031,pcaI,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K01032,pcaJ,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K01032,pcaJ,C_Catechol_degradation,Aromatics
AP1BH01-1,K01061,phaZ,D_P4HB,Polymers
AP1BH01-1,K01061,phaZ,D_PEA,Polymers
AP1BH01-1,K01061,phaZ,D_P3HP,Polymers
AP1BH01-1,K01061,phaZ,D_PHBV,Polymers
AP1BH01-1,K01061,phaZ,D_PHO,Polymers
AP1BH01-1,K01061,phaZ,D_PPL,Polymers
AP1BH01-1,K01061,phaZ,D_PHB,Polymers
AP1BH01-1,K01061,phaZ,D_PHA,Polymers
AP1BH01-1,K01061,phaZ,D_PHPV,Polymers
AP1BH01-1,K01061,phaZ,D_PCL,Polymers
AP1BH01-1,K01061,phaZ,D_PES,Polymers
AP1BH01-1,K01259,pcaD,C_Catechol_degradation,Aromatics
AP1BH01-1,K01259,pcaD,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K01465,benC,C_Benzoate_degradation,Aromatics
AP1BH01-1,K01649,xylK,C_Catechol_degradation,Aromatics
AP1BH01-1,K01857,pcaB,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K01912,paaK,C_Phenylacetate_degradation,Aromatics
AP1BH01-1,K03098,blc,A_Hydrocarbon_uptake,Alkanes
AP1BH01-1,K03386,ahpC,A_Finnerty_pathway,Alkanes
AP1BH01-1,K03644,lipA,D_PET,Polymers
AP1BH01-1,K03644,lipA,D_PCL,Polymers
AP1BH01-1,K03644,lipA,D_PBSA,Polymers
AP1BH01-1,K03801,lipB,D_PET,Polymers
AP1BH01-1,K04091,ssuD,A_Auxiliar_alkane_gene,Alkanes
AP1BH01-1,K05797,pchF,C_Toluene_degradation,Aromatics
AP1BH01-1,K06151,mpdB,B_2-methylpropene_degradation,Alkenes
AP1BH01-1,K06999,est,D_PU,Polymers
AP1BH01-1,K06999,est,D_PET,Polymers
AP1BH01-1,K06999,est,D_PBSA,Polymers
AP1BH01-1,K06999,est,D_PCL,Polymers
AP1BH01-1,K06999,est,D_PBAT,Polymers
AP1BH01-1,K06999,est,D_PLA,Polymers
AP1BH01-1,K07275,alkL,A_Hydrocarbon_uptake,Alkanes
AP1BH01-1,K07782,rhlR,E_Rhamnolipids,Biosurfactant
AP1BH01-1,K10804,est,D_PU,Polymers
AP1BH01-1,K10804,est,D_PET,Polymers
AP1BH01-1,K10804,est,D_PBSA,Polymers
AP1BH01-1,K10804,est,D_PCL,Polymers
AP1BH01-1,K10804,est,D_PBAT,Polymers
AP1BH01-1,K10804,est,D_PLA,Polymers
AP1BH01-1,K16048,styB,C_Styrene_degradation,Aromatics
AP1BH01-1,K16165,hbzF,C_Gentisate_degradation,Aromatics
AP1BH01-1,K16165,nagK,C_Gentisate_degradation,Aromatics
AP1BH01-1,K21702,xecE1,B_Propene_degradation,Alkenes
AP1BH01-1,K07823,pcaF,C_Catechol_degradation,Aromatics
AP1BH01-1,K07823,pcaF,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K18225,prmB,A_Subterminal_oxidation,Alkanes
AP1BH01-1,K22445,alkH_ald,A_Auxiliar_alkane_gene,Alkanes
AP1BH01-1,K22445,dpgC,C_Toluene_degradation,Aromatics
AP1BH01-1,K22445,mdlD,C_Toluene_degradation,Aromatics
AP1BH01-1,K00154,alkH_ald,A_Auxiliar_alkane_gene,Alkanes
AP1BH01-1,K00154,dpgC,C_Toluene_degradation,Aromatics
AP1BH01-1,K00154,mdlD,C_Toluene_degradation,Aromatics
AP1BH01-1,K00632,pcaF,C_Catechol_degradation,Aromatics
AP1BH01-1,K00632,pcaF,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K14581,benC,C_Benzoate_degradation,Aromatics
AP1BH01-1,K14581,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
AP1BH01-1,K14581,xylZ,C_Benzoate_degradation,Aromatics
AP1BH01-1,K14727,pcaD,C_Catechol_degradation,Aromatics
AP1BH01-1,K14727,pcaD,C_Protocatechuate_degradation,Aromatics
AP1BH01-1,K21802,ntnC,C_Toluene_degradation,Aromatics
AP1BH01-1,K21802,pchA,C_Toluene_degradation,Aromatics
AP1BH01-1,K21802,xylC,C_Toluene_degradation,Aromatics
AP1BH01-1,K21802,xylC,C_Dimethylbenzene,Aromatics
AP1BH01-1,K22024,tphB,C_Terephthalate_degradation,Aromatics
BD1,K00019,hbd,D_PHBV,Polymers
BD1,K00019,hbd,D_PHA,Polymers
BD1,K00019,hbd,D_P3HV,Polymers
BD1,K01183,chi25,D_PCL,Polymers
BD1,K00104,pchF,C_Toluene_degradation,Aromatics
BD1,K00108,alkJ_adh,A_Auxiliar_alkane_gene,Alkanes
BD1,K00108,pegA,D_PEG,Polymers
BD1,K00219,abmA,C_Anthranilate_degradation,Aromatics
BD1,K00362,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
BD1,K00362,andAa,C_Anthranilate_degradation,Aromatics
BD1,K00362,padAd1,C_Phthalate_degradation,Aromatics
BD1,K00363,andAb,C_Anthranilate_degradation,Aromatics
BD1,K00363,bedB,C_Benzene_degradation,Aromatics
BD1,K00363,bphAc,C_Biphenyl_degradation,Aromatics
BD1,K00363,nagAb,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
BD1,K00363,todB,C_Toluene_degradation,Aromatics
BD1,K00382,xecC,B_Propene_degradation,Alkenes
BD1,K00446,xylE,C_Catechol_degradation,Aromatics
BD1,K00528,xamoF,B_Propene_degradation,Alkenes
BD1,K00528,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
BD1,K00528,tphA1I,C_Terephthalate_degradation,Aromatics
BD1,K00627,bphD,C_Biphenyl_degradation,Aromatics
BD1,K00645,ituD,E_Iturin,Biosurfactant
BD1,K01028,pcaI,C_Protocatechuate_degradation,Aromatics
BD1,K01104,wzb,E_Emulsan,Biosurfactant
BD1,K01426,NFA_28320,D_Nylon,Polymers
BD1,K01426,nylA,D_Nylon,Polymers
BD1,K01465,benC,C_Benzoate_degradation,Aromatics
BD1,K01649,xylK,C_Catechol_degradation,Aromatics
BD1,K01895,pqsA,C_Anthranilate_degradation,Aromatics
BD1,K02823,prmB,A_Subterminal_oxidation,Alkanes
BD1,K02823,isoF,B_Isoprene_degradation,Alkenes
BD1,K02823,xamoF,B_Propene_degradation,Alkenes
BD1,K02823,antC,C_Anthranilate_degradation,Aromatics
BD1,K02823,benC,C_Benzoate_degradation,Aromatics
BD1,K02823,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
BD1,K02823,tphA1I,C_Terephthalate_degradation,Aromatics
BD1,K02823,xylZ,C_Benzoate_degradation,Aromatics
BD1,K03386,ahpC,A_Finnerty_pathway,Alkanes
BD1,K03387,ahpF,A_Finnerty_pathway,Alkanes
BD1,K03644,lipA,D_PET,Polymers
BD1,K03644,lipA,D_PCL,Polymers
BD1,K03644,lipA,D_PBSA,Polymers
BD1,K03801,lipB,D_PET,Polymers
BD1,K04091,ssuD,A_Auxiliar_alkane_gene,Alkanes
BD1,K05710,isoC,B_Isoprene_degradation,Alkenes
BD1,K05710,xamoC,B_Propene_degradation,Alkenes
BD1,K05710,andAb,C_Anthranilate_degradation,Aromatics
BD1,K05710,bedB,C_Benzene_degradation,Aromatics
BD1,K05710,bphAc,C_Biphenyl_degradation,Aromatics
BD1,K05710,doxA,C_Naphthalene_degradation,Aromatics
BD1,K05710,doxA,C_Dibenzothiophene_degradation,Aromatics
BD1,K05710,nagAb,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
BD1,K05710,tmoC,C_Toluene_degradation,Aromatics
BD1,K05710,todB,C_Toluene_degradation,Aromatics
BD1,K07071,blc,A_Hydrocarbon_uptake,Alkanes
BD1,K10215,almA,A_Terminal/biterminal_oxidation,Alkanes
BD1,K10215,BVMO,A_Subterminal_oxidation,Alkanes
BD1,K10804,est,D_PU,Polymers
BD1,K10804,est,D_PET,Polymers
BD1,K10804,est,D_PBSA,Polymers
BD1,K10804,est,D_PCL,Polymers
BD1,K10804,est,D_PBAT,Polymers
BD1,K10804,est,D_PLA,Polymers
BD1,K22250,phaY2,D_PHB,Polymers
BD1,K22250,phaY2,D_PHA,Polymers
BD1,K22250,phaZ,D_P4HB,Polymers
BD1,K22250,phaZ,D_PEA,Polymers
BD1,K22250,phaZ,D_P3HP,Polymers
BD1,K22250,phaZ,D_PHBV,Polymers
BD1,K22250,phaZ,D_PHO,Polymers
BD1,K22250,phaZ,D_PPL,Polymers
BD1,K22250,phaZ,D_PHB,Polymers
BD1,K22250,phaZ,D_PHA,Polymers
BD1,K22250,phaZ,D_PHPV,Polymers
BD1,K22250,phaZ,D_PCL,Polymers
BD1,K22250,phaZ,D_PES,Polymers
BD1,K22250,phaZ1,D_PHA,Polymers
BD1,K22250,phaZ1,D_PHB,Polymers
BD1,K22250,phaZ2,D_PHB,Polymers
BD1,K22250,phaZ2,D_PHA,Polymers
BD1,K22250,phaZ3,D_PHB,Polymers
BD1,K22250,phaZ3,D_PHA,Polymers
BD1,K00151,praB,C_Protocatechuate_degradation,Aromatics
BD1,K00632,pcaF,C_Catechol_degradation,Aromatics
BD1,K00632,pcaF,C_Protocatechuate_degradation,Aromatics
BD1,K03406,alkN_mcp,A_Hydrocarbon_uptake,Alkanes
BD1,K06133,ffp,E_Fengacyn,Biosurfactant
BD1,K06133,sfp,E_Surfactin,Biosurfactant
BD5,K00019,hbd,D_PHBV,Polymers
BD5,K00019,hbd,D_PHA,Polymers
BD5,K00019,hbd,D_P3HV,Polymers
BD5,K01183,chi25,D_PCL,Polymers
BD5,K00104,pchF,C_Toluene_degradation,Aromatics
BD5,K00108,alkJ_adh,A_Auxiliar_alkane_gene,Alkanes
BD5,K00108,pegA,D_PEG,Polymers
BD5,K00219,abmA,C_Anthranilate_degradation,Aromatics
BD5,K00362,alkT_rubB_rdxR,A_Terminal/biterminal_oxidation,Alkanes
BD5,K00362,andAa,C_Anthranilate_degradation,Aromatics
BD5,K00362,padAd1,C_Phthalate_degradation,Aromatics
BD5,K00363,andAb,C_Anthranilate_degradation,Aromatics
BD5,K00363,bedB,C_Benzene_degradation,Aromatics
BD5,K00363,bphAc,C_Biphenyl_degradation,Aromatics
BD5,K00363,nagAb,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
BD5,K00363,todB,C_Toluene_degradation,Aromatics
BD5,K00382,xecC,B_Propene_degradation,Alkenes
BD5,K00446,xylE,C_Catechol_degradation,Aromatics
BD5,K00528,xamoF,B_Propene_degradation,Alkenes
BD5,K00528,nagAa,C_1-Methylnaphthalene/2-Methylnaphthalene_degradation,Aromatics
BD5,K00528,tphA1I,C_Terephthalate_degradation,Aromatics
BD5,K00627,bphD,C_Biphenyl_degradation,Aromatics
BD5,K00645,ituD,E_Iturin,Biosurfactant
BD5,K01028,pcaI,C_Protocatechuate_degradation,Aromatics
BD5,K01104,wzb,E_Emulsan,Biosurfactant
BD5,K01426,NFA_28320,D_Nylon,Polymers
BD5,K01426,nylA,D_Nylon,Polymers
BD5,K01465,benC,C_Benzoate_degradation,Aromatics
BD5,K01649,xylK,C_Catechol_degradation,Aromatics
BD5,K01895,pqsA,C_Anthranilate_degradation,Aromatics
BD5,K02823,prmB,A_Subterminal_oxidation,Alkanes
BD5,K02823,isoF,B_Isoprene_degradation,Alkenes
BD5,K02823,xamoF,B_Propene_degradation,Alkenes
BD5,K02823,antC,C_Anthranilate_degradation,Aromatics
BD5,K02823,benC,C_Benzoate_degradation,Aromatics
