rank,target_class,samples,sample_1,sample_2,sample_3,taxa,metal_groups,coverage_compounds,total_class_compounds,coverage_pct,coverage_kos,total_class_kos,ko_coverage_pct,gene_union_count,target_dcpip_metric,target_dcpip_mean,overall_dcpip_mean,min_compound_loss,mean_compound_loss,compound_losses,min_gene_loss,mean_gene_loss,gene_losses,avg_pairwise_compound_jaccard,avg_pairwise_gene_jaccard,balanced_v2_score
1,Aliphatic,BD127 + BD54 + BG1,BD127,BD54,BG1,BD127=Achromobacter; BD54=Acinetobacter; BG1=Bacillus amyloliquefaciens,BD127=Metal_Group_4; BD54=Metal_Group_1; BG1=Metal_Group_4,55,59,93.220339,100,153,65.359477,100,PL_mean,72.998333,64.388194,4,7.666667,BD127=14; BD54=4; BG1=5,16,18,BD127=16; BD54=18; BG1=20,0.510783,0.374835,0.908071
1,Polyaromatic,BD120 + BD158 + BD61,BD120,BD158,BD61,BD120=Bacillus subtilis; BD158=Salinicola; BD61=Ochrobactrum,BD120=Metal_Group_4; BD158=Metal_Group_1; BD61=Metal_Group_4,40,44,90.909091,59,83,71.084337,59,PP_mean,66.660722,72.078972,4,6,BD120=6; BD158=4; BD61=8,6,9.333333,BD120=12; BD158=6; BD61=10,0.508715,0.409395,0.89073
